community_resource,complex_id,complex_name,subunits_annotated,n_subunits_annotated,subunits_with_MS_signal,n_subunits_with_MS_signal,subunits_coeluting,n_subunits_coeluting,completeness,left_feature_boundary,right_feature_boundary,feature_apex,feature_area,peak_corr,feature_area_subunits,intensity_ratio,stoichiometry_estimated,monomer_mw,monomer_sec,coelution_score,pvalue,qvalue,feature_id,best_feature,feature_count,relInt_sub,relInt_mean
bioplex,B4DUB1,B4DUB1,A0JLT2;B4DUB1;E5RFK5;O43513;O60244;O75448;O75586;P49336;Q15528;Q15648;Q6P2C8;Q71F56;Q86YW9;Q92665;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9H204;Q9H944;Q9NPJ6;Q9NUQ9;Q9NVC6;Q9NWA0;Q9NX70;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,30,O60244;O75448;O75586;Q15528;Q15648;Q6P2C8;Q92665;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NUQ9;Q9NVC6;Q9NX70;Q9ULK4;Q9Y2X0,16,O60244;O75448;O75586;Q15528;Q15648;Q6P2C8;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NVC6;Q9ULK4;Q9Y2X0,13,0.433333333,1,23,10,1771707,0.902460097,147823;180347;28058;32414;239829;118251;107061;133476;157405;196328;137788;112227;137277,5.26847957801697;6.4276498681303;1;1.15524983961793;8.54761565328961;4.21451992301661;3.81570318625704;4.75714591203935;5.60998645662556;6.99722004419417;4.91082757145912;3.99982179770475;4.89261529688502,5;6;1;1;9;4;4;5;6;7;5;4;5,160.607;110.305;28.425;22.221;168.478;35.432;243.081;20.277;23.222;29.745;72.89;156.474;96.793,42;46;59;61;42;57;38;62;61;58;50;42;47,0.999992195,0.000661376,0.001170711,28,1,3,1;1;1;0.67;0.95;0.95;1;0.86;0.47;0.74;0.99;0.98;0.74,0.873076923
bioplex,B4DUB1,B4DUB1,A0JLT2;B4DUB1;E5RFK5;O43513;O60244;O75448;O75586;P49336;Q15528;Q15648;Q6P2C8;Q71F56;Q86YW9;Q92665;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9H204;Q9H944;Q9NPJ6;Q9NUQ9;Q9NVC6;Q9NWA0;Q9NX70;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,30,O60244;O75448;O75586;Q15528;Q15648;Q6P2C8;Q92665;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NUQ9;Q9NVC6;Q9NX70;Q9ULK4;Q9Y2X0,16,Q15528;Q96HR3,2,0.066666667,44,56,50,46395,0.956447468,16262;22253,1;1.36840487024966,1;1,22.221;20.277,61;62,NA,NA,NA,29,0,3,0.33;0.14,0.235
bioplex,B4DUB1,B4DUB1,A0JLT2;B4DUB1;E5RFK5;O43513;O60244;O75448;O75586;P49336;Q15528;Q15648;Q6P2C8;Q71F56;Q86YW9;Q92665;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9H204;Q9H944;Q9NPJ6;Q9NUQ9;Q9NVC6;Q9NWA0;Q9NX70;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,30,O60244;O75448;O75586;Q15528;Q15648;Q6P2C8;Q92665;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NUQ9;Q9NVC6;Q9NX70;Q9ULK4;Q9Y2X0,16,Q15648;Q9NPJ6,2,0.066666667,21,31,24,63780,0.956034827,20308;40461,1;1.99236753988576,1;2,168.478;29.745,42;58,NA,NA,NA,30,0,3,0.08;0.15,0.115
bioplex,B5ME19,B5ME19,B5ME19;O00303;O15372;Q13347;Q7L2H7,5,O00303;O15372;Q13347;Q7L2H7,4,O00303;O15372;Q13347;Q7L2H7,4,0.8,15,26,20,12846915,0.996807357,5402097;2999127;2960019;1485672,3.63613031678594;2.0187006284025;1.99237718688917;1,4;2;2;1,37.564;39.93;36.502;42.503,56;55;56;55,0.99999987,0.000661376,0.001170711,32,1,3,0.91;0.94;0.6;0.95,0.85
bioplex,B5ME19,B5ME19,B5ME19;O00303;O15372;Q13347;Q7L2H7,5,O00303;O15372;Q13347;Q7L2H7,4,O00303;O15372;Q13347;Q7L2H7,4,0.8,1,15,12,706739,0.896728964,266009;113758;264036;54698,4.863230831109;2.07974697429522;4.82716004241471;1,5;2;5;1,37.564;39.93;36.502;42.503,56;55;56;55,NA,NA,NA,31,0,3,0.04;0.04;0.05;0.03,0.04
bioplex,B5ME19,B5ME19,B5ME19;O00303;O15372;Q13347;Q7L2H7,5,O00303;O15372;Q13347;Q7L2H7,4,O00303;Q7L2H7,2,0.4,42,54,47,164531,0.874708696,127880;27687,4.61877415393506;1,5;1,37.564;42.503,56;55,NA,NA,NA,33,0,3,0.02;0.02,0.02
bioplex,C9JP52,C9JP52,C9JP52;O75436;Q4G0F5,3,O75436;Q4G0F5,2,O75436;Q4G0F5,2,0.666666667,38,48,43,2827934,0.961295424,2533075;292622,8.65647490619297;1,9;1,38.17;39.155,56;56,0.924088846,0.027777778,0.026537083,35,1,2,0.97;0.99,0.98
bioplex,D6RGH0,D6RGH0,D6RGH0;O94776;P07900;P08238;P09769;Q00536;Q13451;Q16543;Q16829;Q58FG0;Q5SXM8;Q8NA56;Q96NB2;Q96Q40,14,O94776;P07900;P08238;Q00536;Q13451;Q16543;Q96NB2,7,P07900;P08238;Q16543;Q96NB2,4,0.285714286,1,13,10,3253126,0.959255858,1569132;1337573;142632;203789,11.0012619888945;9.37779039766672;1;1.42877474900443,11;9;1;1,84.66;83.264;44.468;36.232,48;48;54;56,0.985773562,0.001984127,0.003111564,37,1,3,0.03;0.05;0.04;0.41,0.1325
bioplex,D6RGH0,D6RGH0,D6RGH0;O94776;P07900;P08238;P09769;Q00536;Q13451;Q16543;Q16829;Q58FG0;Q5SXM8;Q8NA56;Q96NB2;Q96Q40,14,O94776;P07900;P08238;Q00536;Q13451;Q16543;Q96NB2,7,P07900;P08238;Q13451;Q16543,4,0.285714286,30,39,34,60073332,0.539033565,38786845;20495766;330805;459916,117.249875304182;61.9572436934145;1;1.39029337525128,117;62;1;1,84.66;83.264;51.212;44.468,48;48;53;54,NA,NA,NA,36,0,3,0.82;0.72;0.19;0.12,0.4625
bioplex,D6RGH0,D6RGH0,D6RGH0;O94776;P07900;P08238;P09769;Q00536;Q13451;Q16543;Q16829;Q58FG0;Q5SXM8;Q8NA56;Q96NB2;Q96Q40,14,O94776;P07900;P08238;Q00536;Q13451;Q16543;Q96NB2,7,Q13451;Q16543,2,0.142857143,20,29,26,321797,0.607787153,65887;255461,1;3.87725955044242,1;4,51.212;44.468,53;54,NA,NA,NA,38,0,3,0.04;0.06,0.05
