Complex_ID,Complex_Name,Subunits_UniProt_IDs,Database
Complex_4693,,"Q9NX62, Q8IW92",Heusel_BioPlex_2019
Complex_4694,,"Q8WTV0, Q9NX62",Heusel_BioPlex_2019
Complex_4695,,"O15400, O43752, Q86Y82, Q9NZ43, Q9UNK0, Q99747, P54920",Heusel_BioPlex_2019
Complex_4696,,"Q9H446, P55039","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019, Heusel_CSB_2019"
Complex_4697,,"Q16880, Q8IW92, P18031, Q9UHG3, Q9NX62, Q9BRR6, O14967, Q8TC12, Q86SF2, P27824","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4698,,"Q9NX62, Q9BRR6, Q8IW92, P18031",Heusel_BioPlex_2019
Complex_4699,,"Q86SF2, Q8TC12",Heusel_BioPlex_2019
Complex_4700,,"P83881, P18621, P83731, Q9Y3C1",Heusel_BioPlex_2019
Complex_4701,,"P55209, Q99733, P18621, P83731","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4702,,"P57740, Q8WUM0, P33176, Q9BW27, Q8NFH3, P55735","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4703,,"Q8NFH3, P55735, P57740","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4704,,"O15400, O94979",Heusel_BioPlex_2019
Complex_4705,,"Q8NFH3, Q9BW27","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4706,,"P57740, Q8WUM0","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019"
Complex_4707,,"Q96EE3, Q8NFH4","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4708,,"Q13363, P56545","Heusel_BioPlex_2019, Heusel_StringDB_2019, Heusel_CSB_2019"
Complex_4709,,"P43304, Q9NPA0, Q9BTV4, Q9H6H4","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4710,,"P59998, O15143",Heusel_BioPlex_2019
Complex_4711,,"P28070, Q99436, P60900, P25786",Heusel_BioPlex_2019
Complex_4712,,"Q99436, P60900",Heusel_BioPlex_2019
Complex_4713,,"Q92747, P61158, O15143, O15145",Heusel_BioPlex_2019
Complex_4714,,"P61158, O15145",Heusel_BioPlex_2019
Complex_4715,,"P61160, O15143, Q92747, Q9BPX5, O15145","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4716,,"P61160, O15145",Heusel_BioPlex_2019
Complex_4717,,"P42025, P61163, Q13561",Heusel_BioPlex_2019
Complex_4718,,"Q99627, Q9UNS2, Q13098",Heusel_BioPlex_2019
Complex_4719,,"Q13619, Q92466","Heusel_BioPlex_2019, Heusel_StringDB_2019, Heusel_CSB_2019"
Complex_4720,,"Q9UNS2, Q9BT78","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019"
Complex_4721,,"P62241, P61247, P15880",Heusel_BioPlex_2019
Complex_4722,,"Q9BYG3, P15880",Heusel_BioPlex_2019
Complex_4723,,"P62917, P62241",Heusel_BioPlex_2019
Complex_4724,,"P62917, P61313, P50914, P26373",Heusel_BioPlex_2019
Complex_4725,,"Q99848, P61353",Heusel_BioPlex_2019
Complex_4726,,"P61513, P62917, P06748",Heusel_BioPlex_2019
Complex_4727,,"O14975, Q08722, Q92508, O60831, P00387, Q8TC12, Q8N9F7, Q6UWP7, Q86VR2, Q2TAA5, Q8NC56, O15258, Q9BVT8, Q9BTV4, Q9HBH5, P35610, Q99442, Q9Y6A9, P98172, Q9NRZ7, Q9BTX1, O15127, Q8WY22, Q96DA6","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4728,,"O14975, Q08722, O60831, Q9Y6A9, Q9HBH5, P35610, Q15005, O15258, Q9BVT8, P00387, Q8TC12, Q6UWP7, Q9BTV4, Q8WY22, P98172, Q96DA6",Heusel_BioPlex_2019
Complex_4729,,"O15258, Q8WY22, Q96DA6",Heusel_BioPlex_2019
Complex_4730,,"Q9H813, Q8N0U8",Heusel_BioPlex_2019
Complex_4731,,"Q2TAA5, Q8NCG7",Heusel_BioPlex_2019
Complex_4732,,"P62195, P35998, P62333, P62191, P17980",Heusel_BioPlex_2019
Complex_4733,,"P62191, P17980, P62195",Heusel_BioPlex_2019
Complex_4734,,"Q96EL2, Q9BQ48, Q9BYN8, P51398, O60832, P82933, Q9NRX2, Q7Z2W9, Q4U2R6, Q5T653, Q9BRJ2, P09001, Q13084, Q9H0U6, Q9NWU5, P49406, Q9H9J2, P82663, Q96A35, P82912, Q9NQ50, P82650, Q9H0A0, Q9P015, Q9Y2R9, Q8N983, Q9BYC8, Q16540, Q13405, Q9H2W6, Q9HD33, P82930, Q9NP92, Q9P0M9, P82675, Q14197, Q96EY7, O60783, Q8TAE8, Q7Z7H8, Q92552, Q92665, Q9BYD1, Q9BYC9, Q96DV4, Q9Y291, Q9NX20, Q9BYD2, Q8TCC3, Q9BYD6",Heusel_BioPlex_2019
Complex_4735,,"O75533, P61247, Q5SSJ5, P62277, Q13601, P61254, P62241, Q9H7B2, Q00577, Q13435",Heusel_BioPlex_2019
Complex_4736,,"Q9H0A0, Q8IWX8, O15042",Heusel_BioPlex_2019
Complex_4737,,"Q9BQ48, Q9NP92",Heusel_BioPlex_2019
Complex_4738,,"P61247, Q9BYD1","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4739,,"Q9BRJ2, Q9H9J2",Heusel_BioPlex_2019
Complex_4740,,"P09001, Q9NX20","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4741,,"P62917, Q9BRT6",Heusel_BioPlex_2019
Complex_4742,,"P62277, P62241, P15880",Heusel_BioPlex_2019
Complex_4743,,"P62241, P62277",Heusel_BioPlex_2019
Complex_4744,,"Q9Y5U2, Q9BUQ8, Q96DI7, P62316",Heusel_BioPlex_2019
Complex_4745,,"P62316, P09661",Heusel_BioPlex_2019
Complex_4746,,"P62318, P09661",Heusel_BioPlex_2019
Complex_4747,,"P62333, Q99436, Q9Y5K5, P62191, P17980",Heusel_BioPlex_2019
Complex_4748,,"P62424, P06748",Heusel_BioPlex_2019
Complex_4749,,"Q9NWS0, P62875, Q9NVC6, Q96HR3, P30876",Heusel_BioPlex_2019
Complex_4750,,"Q9NWS0, Q9Y5B0",Heusel_BioPlex_2019
Complex_4751,,"P62750, P06748",Heusel_BioPlex_2019
Complex_4752,,"P62826, P18754","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4753,,"P62841, P15880",Heusel_BioPlex_2019
Complex_4754,,"P15880, P62847",Heusel_BioPlex_2019
Complex_4755,,"P08754, P62873",Heusel_BioPlex_2019
Complex_4756,,"P30519, P08754, P62879","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4757,,"P30519, P62879",Heusel_BioPlex_2019
Complex_4758,,"P62910, P50914",Heusel_BioPlex_2019
Complex_4759,,"P36578, P62917, P40429, O95793, P05388, Q9BRJ6, P62847, P61313, Q9NUL3, Q99848, Q9NW13, Q96GQ7, Q15397, P46087, P05387, P61513, Q07020, Q8IY81, P42696, Q02878, P62241",Heusel_BioPlex_2019
Complex_4760,,"P62241, Q6ZN17, P61247, O95793",Heusel_BioPlex_2019
Complex_4761,,"O43159, Q13823, Q7Z2W4, Q99575",Heusel_BioPlex_2019
Complex_4762,,"Q13823, Q9H6F5",Heusel_BioPlex_2019
Complex_4763,,"P62979, P15880, P09651","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4764,,"Q9NX40, Q9UNF1, P62873, P62879, Q9UH62","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4765,,"P62879, P62873",Heusel_BioPlex_2019
Complex_4766,,"P63220, P08865",Heusel_BioPlex_2019
Complex_4767,,"P67809, P15880",Heusel_BioPlex_2019
Complex_4768,,"O15400, Q86Y82, Q13895",Heusel_BioPlex_2019
Complex_4769,,"Q13586, Q86X29, P67812, O43292, P04920, Q5JRA6, Q96S66, Q6ZXV5, Q9H3K2, P54760, Q9Y3B3, Q9BU23, Q96CP6, Q7Z2K6","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4770,,"P67812, Q15005, Q9H3K2, Q9BU23, Q96CP6, Q7Z2K6",Heusel_BioPlex_2019
Complex_4771,,"O95707, P78346","Heusel_BioPlex_2019, Humap2"
Complex_4772,,"P35606, Q9Y678, Q99614, P11142",Heusel_BioPlex_2019
Complex_4773,,"P35606, Q9Y678",Heusel_BioPlex_2019
Complex_4774,,"Q9H7Z7, O60831, Q5SRE5, Q68D91, Q9BRR6, O15126, Q6NUQ4, Q8NC56, O43149, Q8TC07, P02786, Q08379, Q9Y2H6, Q9Y3E5, Q16625, Q658P3, A2RU67, Q969V3, Q29RF7, Q9HD20, Q9UHG3, O15127, Q8WVC6, Q8WY22",Heusel_BioPlex_2019
Complex_4775,,"Q9Y3E5, Q9HD20, O60831, Q8WVC6, P02786, Q9BRR6, Q8WY22, Q6NUQ4",Heusel_BioPlex_2019
Complex_4776,,"P02786, Q8NC56",Heusel_BioPlex_2019
Complex_4777,,"P82675, P82650, Q92665",Heusel_BioPlex_2019
Complex_4778,,"P82675, Q92665, P82663",Heusel_BioPlex_2019
Complex_4779,,"P62241, P82663",Heusel_BioPlex_2019
Complex_4780,,"P82664, P51398, Q92665",Heusel_BioPlex_2019
Complex_4781,,"P51398, P82673, Q92665",Heusel_BioPlex_2019
Complex_4782,,"Q96EL2, Q9BYN8, P51398, P82933, P68400, P82663, P82650, Q9Y2R9, P82930, P82675, Q9Y3D9, Q9Y3D5, Q96EY7, Q92552, Q92665, Q5JU69, Q9Y291, P82914, P82664, Q9Y399",Heusel_BioPlex_2019
Complex_4783,,"P62241, Q02878, P26373",Heusel_BioPlex_2019
Complex_4784,,"P82909, P09622",Heusel_BioPlex_2019
Complex_4785,,"Q9Y3D5, Q9Y399, Q96EY7, P82933, Q92665, P82675, P82650",Heusel_BioPlex_2019
Complex_4786,,"P82675, P82914, Q92665",Heusel_BioPlex_2019
Complex_4787,,"Q92665, P82921",Heusel_BioPlex_2019
Complex_4788,,"P82930, Q92665",Heusel_BioPlex_2019
Complex_4789,,"P82932, Q92665",Heusel_BioPlex_2019
Complex_4790,,"P82675, Q9Y399, P82933, Q92665",Heusel_BioPlex_2019
Complex_4791,,"Q96EV8, P35613, O75695",Heusel_BioPlex_2019
Complex_4792,,"Q96JB2, P83436",Heusel_BioPlex_2019
Complex_4793,,"P35613, O75695",Heusel_BioPlex_2019
Complex_4794,,"P55209, P83731",Heusel_BioPlex_2019
Complex_4795,,"Q969X5, P98172, P54709","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4796,,"Q969X5, P54709",Heusel_BioPlex_2019
Complex_4797,,"Q01433, Q13363","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4798,,"Q02218, P09622","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4799,,"Q92990, Q86Y56, Q8TC12, Q6ZXV5, Q9NRK6, Q8TB61, O95167, O15270, O15121, Q8IYS2, Q6UW68, Q9Y2U8, A2RU67, Q96N66, Q8N5K1, Q86X29, Q9NZJ7, O14949, Q9H490","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4800,,"Q9NRK6, Q8IYS2, Q6UW68, Q86Y56, Q8TC12, Q9Y2U8",Heusel_BioPlex_2019
Complex_4801,,"Q8N5K1, Q8TB61, O15121",Heusel_BioPlex_2019
Complex_4802,,"Q4G0J3, Q99575, Q7L2E3, Q9BZE4, P62906, Q9BYG3, O95793, Q9BRJ6, Q5T280, Q5SSJ5, Q9NUL3, Q99848, O76021, Q9HCE1, Q13823, Q96GQ7, Q8IY81, Q92900, P42696, P62841, Q7Z2W4, Q1ED39, Q15050",Heusel_BioPlex_2019
Complex_4803,,"O75533, P46782, Q7L2E3, Q9GZR7, Q9BZE4, Q6ZN17, Q9H7B2, P08865, P23396, Q5SSJ5, Q8TBF4, Q13601, Q6P158, O76021, Q8N9T8, Q13435, P61247, P62841, Q7Z2W4",Heusel_BioPlex_2019
Complex_4804,,"Q5SSJ5, Q8TBF4, Q13601, O76021, Q6ZN17, Q9BYG3, Q8N9T8",Heusel_BioPlex_2019
Complex_4805,,"Q13310, O60832, Q5JTH9, Q9NUD5, P78316",Heusel_BioPlex_2019
Complex_4806,,"O60832, Q9BVI4, Q6ZN55, O75127",Heusel_BioPlex_2019
Complex_4807,,"Q6PKG0, P78316",Heusel_BioPlex_2019
Complex_4808,,"Q99575, Q7L2E3",Heusel_BioPlex_2019
Complex_4809,,"Q9Y4C8, Q6P158",Heusel_BioPlex_2019
Complex_4810,,"Q96EL2, Q9BQ48, Q9BYN8, P51398, P82933, Q9BRJ2, Q13310, Q96A35, P82912, P82650, Q9P015, Q9Y2R9, O75127, Q9BYD2, Q6PKG0, Q9H2W6, Q9HD33, P82930, Q9NP92, Q9P0M9, P82675, Q9Y3D9, Q9Y3D5, Q14197, Q96EY7, O60783, Q92552, Q92665, Q9BYD1, Q96DV4, Q9Y291, Q9NVS2, P82921, Q9Y399, Q8TCC3, Q96EB6",Heusel_BioPlex_2019
Complex_4811,,"Q13601, P82933, Q12905, P67809, Q6ZN17, Q8N9T8, Q9Y2R9",Heusel_BioPlex_2019
Complex_4812,,"Q13310, Q5JTH9, Q6PKG0",Heusel_BioPlex_2019
Complex_4813,,"Q9Y4B6, P06748, Q4G0J3",Heusel_BioPlex_2019
Complex_4814,,"Q9BQ48, Q6PKG0",Heusel_BioPlex_2019
Complex_4815,,"Q06136, O60637",Heusel_BioPlex_2019
Complex_4816,,"P62917, Q07020",Heusel_BioPlex_2019
Complex_4817,,"Q07812, Q29RF7","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4818,,"Q09028, Q16576, Q8WXI9, O94776, Q13330","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019"
Complex_4819,,"Q92520, Q9NX62",Heusel_BioPlex_2019
Complex_4820,,"Q8TC07, Q9NWS8",Heusel_BioPlex_2019
Complex_4821,,"P22087, P15880, Q12789",Heusel_BioPlex_2019
Complex_4822,,"P22087, Q96CS3",Heusel_BioPlex_2019
Complex_4823,,"Q15532, Q92785, Q969G3, Q96GM5, Q12824",Heusel_BioPlex_2019
Complex_4824,,"O15400, O43752, Q86Y82, Q12846",Heusel_BioPlex_2019
Complex_4825,,"O43752, Q12846","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4826,,"Q9NVP1, Q9NQ55, Q7L2E3, Q9UPY3, Q9BZE4, P62906, Q12905, Q9H074, O95793, O43159, Q9Y221, Q03701, P61313, O75127, Q9NUL3, O75569, Q9NW13, Q9HCE1, Q15397, Q8TDN6, Q15633, P46087, Q8IY81, Q92900, Q99459, Q9H8H2, Q02878, P07910, Q9BQG0, Q1ED39, Q12906, Q9P031, Q14684",Heusel_BioPlex_2019
Complex_4827,,"O43390, Q9NVP1, Q96KR1, O75127, Q9BZE4, Q12905, O95793, Q12906, Q7L2E3",Heusel_BioPlex_2019
Complex_4828,,"Q13310, Q9NUD5",Heusel_BioPlex_2019
Complex_4829,,"Q12906, Q12905",Heusel_BioPlex_2019
Complex_4830,,"O43752, Q86Y82, Q9P2W9, Q12981, Q9NZ43, Q9Y5M8",Heusel_BioPlex_2019
Complex_4831,,"Q9BQ48, Q9NRX2, Q7Z2W9, Q4U2R6, Q96GC5, Q5T653, Q9BRJ2, P09001, Q13084, Q9H0U6, Q6P1L8, P49406, Q9NWU5, Q86TS9, Q9H9J2, Q96A35, Q96EL3, Q9NQ50, P52815, Q8IVS2, Q9P015, Q8N983, Q8N5N7, Q9BYC8, O75127, Q96EH3, Q16540, Q13405, Q9BYD3, Q7Z7F7, Q9H2W6, Q9HD33, Q9Y3B7, Q9NP92, Q9P0M9, Q14197, Q8TAE8, Q7Z7H8, Q9BYD1, Q8IXM3, Q9BYC9, Q96DV4, Q9BZE1, Q9NYK5, Q9NX20, Q9NVS2, Q9BYD2, Q8TCC3, Q9BYD6",Heusel_BioPlex_2019
Complex_4832,,"P62241, P26373",Heusel_BioPlex_2019
Complex_4833,,"Q9NYK5, Q9NWU5","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4834,,"Q92905, Q9UNS2, P61201, Q13098, Q7L5N1",Heusel_BioPlex_2019
Complex_4835,,"Q9UNS2, Q13098",Heusel_BioPlex_2019
Complex_4836,,"O15400, Q8WVM8, O43752, Q86Y82, Q9P2W9, Q13277, Q9NZ43, Q9Y5L0, O95721, Q9Y5M8",Heusel_BioPlex_2019
Complex_4837,,"Q13200, P17980",Heusel_BioPlex_2019
Complex_4838,,"O75376, Q13136",Heusel_BioPlex_2019
Complex_4839,,"Q01167, O75935",Heusel_BioPlex_2019
Complex_4840,,"O15400, Q15836, O14763, Q9BV40",Heusel_BioPlex_2019
Complex_4841,,"O60499, Q9UNK0, O43752",Heusel_BioPlex_2019
Complex_4842,,"Q13190, P61764","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4843,,"O96008, Q5SRE5, Q9H583, Q8WUD6, P20339, P21359, O94822, Q9NP72, P84085, P56937, Q9NVH2, Q9Y6D5, Q16625, Q9NUQ7, Q9Y6D6, P22695, Q9Y619, Q9NZJ7, Q6AI08","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4844,,"P56937, Q9Y619, Q9H583, Q8WUD6, P20339",Heusel_BioPlex_2019
Complex_4845,,"Q9NUQ7, Q9NP72, O96008, P22695",Heusel_BioPlex_2019
Complex_4846,,"O95292, P06493, P24941, P12268","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4847,,"Q13309, P06493, P24941",Heusel_BioPlex_2019
Complex_4848,,"Q96CS3, P35613, O75695",Heusel_BioPlex_2019
Complex_4849,,"P35613, Q96CS3",Heusel_BioPlex_2019
Complex_4850,,"Q13423, P13804, Q96CS3","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4851,,"Q13445, P49755",Heusel_BioPlex_2019
Complex_4852,,"Q96EL2, Q9BQ48, Q9BYN8, P51398, P82673, P82933, Q13310, P82932, Q9Y2R5, Q9Y3D3, P82663, P82912, P82650, Q9Y2R9, Q9BYC8, Q9Y2Q9, Q6PKG0, P82930, P82675, Q9Y3D9, Q9Y3D5, Q96EY7, O60783, Q92552, Q92665, Q9Y291, P82914, P82664, P82921, Q9Y676, Q9Y399","Heusel_BioPlex_2019, Humap2"
Complex_4853,,"Q13310, Q9NUD5, P62995",Heusel_BioPlex_2019
Complex_4854,,"Q7L2J0, Q4G0J3","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4855,,"Q96KR1, O75127",Heusel_BioPlex_2019
Complex_4856,,"P62241, P15880, Q13601, Q13895",Heusel_BioPlex_2019
Complex_4857,,"Q13610, P06748",Heusel_BioPlex_2019
Complex_4858,,"Q9UNS2, P61201, Q92905, Q7L5N1",Heusel_BioPlex_2019
Complex_4859,,"Q9BTV4, Q92905",Heusel_BioPlex_2019
Complex_4860,,"Q13823, Q9BYG3",Heusel_BioPlex_2019
Complex_4861,,"P23396, Q9H2U1, Q9NVP1, Q13601, Q96GA3, Q5JTH9, Q13895, Q2NL82, Q9Y4C8",Heusel_BioPlex_2019
Complex_4862,,"Q9BVI4, P78316","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4863,,"Q92575, O95292, Q14139",Heusel_BioPlex_2019
Complex_4864,,"Q9NVA2, Q16181, Q9UHD8, Q92599, Q9NTI5, Q9P0V9, Q14141, Q15019","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019"
Complex_4865,,"P42025, Q14203, Q13561",Heusel_BioPlex_2019
Complex_4866,,"O95563, O15121, Q8TC07","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4867,,"Q9NP58, Q14254",Heusel_BioPlex_2019
Complex_4868,,"P46087, P61313, Q8IY81, P62906, P62910, Q9NW13, P46777",Heusel_BioPlex_2019
Complex_4869,,"P78362, Q99459, O76021, P61254",Heusel_BioPlex_2019
Complex_4870,,"Q9HCS7, Q9BZJ0","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4871,,"P46777, Q9HCS7",Heusel_BioPlex_2019
Complex_4872,,"Q9ULR0, Q99459","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4873,,"P78362, Q13573",Heusel_BioPlex_2019
Complex_4874,,"Q9NPF4, Q14657","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019"
Complex_4875,,"Q9BRK5, Q14683","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4876,,"P50914, Q14684",Heusel_BioPlex_2019
Complex_4877,,"Q12905, P36873",Heusel_BioPlex_2019
Complex_4878,,"Q8NF37, Q9Y6I9, O43291",Heusel_BioPlex_2019
Complex_4879,,"Q9BRX5, Q14691",Heusel_BioPlex_2019
Complex_4880,,"Q9BRK5, O95292, Q9Y282","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4881,,"O60244, Q9ULK4, O75448, Q15648, Q93074, Q9NVC6, Q9NPJ6",Heusel_BioPlex_2019
Complex_4882,,"Q15435, Q9GZT8, O60927","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4883,,"P55072, Q9BZE9","Heusel_BioPlex_2019, Humap2"
Complex_4884,,"Q15003, O75695",Heusel_BioPlex_2019
Complex_4885,,"P60604, Q9BV81, O43402, Q15006, Q5UCC4, Q9P0I2, Q9Y3B6, P13073, Q8N766, Q9NPA0, Q5J8M3, Q8N4V1","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019"
Complex_4886,,"Q14141, Q15019",Heusel_BioPlex_2019
Complex_4887,,"Q13868, Q9NPD3","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019"
Complex_4888,,"Q9Y312, Q9BUQ8, Q9Y5U2, Q15029, Q96DI7",Heusel_BioPlex_2019
Complex_4889,,"Q15050, P50914, P06748",Heusel_BioPlex_2019
Complex_4890,,"P33240, O14786",Heusel_BioPlex_2019
Complex_4891,,"P11177, O00330, P10515, P08559","Heusel_BioPlex_2019, Heusel_StringDB_2019, Heusel_CSB_2019"
Complex_4892,,"Q9BYG5, Q15334",Heusel_BioPlex_2019
Complex_4893,,"Q15363, P49755",Heusel_BioPlex_2019
Complex_4894,,"Q16543, P08238, P08581, P07900",Heusel_BioPlex_2019
Complex_4895,,"P08238, P07900","Heusel_BioPlex_2019, Humap2, Heusel_StringDB_2019"
Complex_4896,,"Q15393, P09661",Heusel_BioPlex_2019
Complex_4897,,"Q15397, P50914, P06748, P62917, P62241",Heusel_BioPlex_2019
Complex_4898,,"P62913, Q8IY81, Q9NVP1, P62277, P39023, P46777, Q8TDN6, Q15050",Heusel_BioPlex_2019
Complex_4899,,"O60684, Q6PKG0, O94992",Heusel_BioPlex_2019
Complex_4900,,"Q6ZN17, Q00577",Heusel_BioPlex_2019
Complex_4901,,"Q99575, Q6ZN17",Heusel_BioPlex_2019
Complex_4902,,"Q99575, P05455",Heusel_BioPlex_2019
Complex_4903,,"Q15532, P51531, P51532, Q92785, Q969G3, Q92925, Q92922, Q96GM5, O14497, Q12824, Q8TAQ2, Q8NFD5","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4904,,"Q99598, Q15631","Heusel_BioPlex_2019, Heusel_StringDB_2019, Heusel_CSB_2019"
Complex_4905,,"P33176, Q07866, Q9NSK0, O95347, O60282, Q9H0B6, Q12840","Heusel_BioPlex_2019, Heusel_StringDB_2019, Heusel_CSB_2019"
Complex_4906,,"Q5VU43, Q15691, Q99996","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4907,,"Q9UPY8, Q15691","Heusel_BioPlex_2019, Heusel_StringDB_2019, Heusel_CSB_2019"
Complex_4908,,"O15400, Q15836, Q86Y82",Heusel_BioPlex_2019
Complex_4909,,"Q14141, Q16181",Heusel_BioPlex_2019
Complex_4910,,"Q9BRP4, P43686, O00487, P62195","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4911,,"Q16540, Q9BYD3, Q9NYK5, Q9HD33, Q9NP92",Heusel_BioPlex_2019
Complex_4912,,"Q09028, Q16576, Q92769, Q9BQA1, Q8WXI9, Q14839, Q13363, Q13547, Q4LE39","Heusel_BioPlex_2019, Heusel_StringDB_2019"
Complex_4913,,"Q13330, O14929",Heusel_BioPlex_2019
Complex_4914,,"Q9Y2U8, P61803, O43808, Q9ULK4","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4915,,"P61803, Q9Y2U8",Heusel_BioPlex_2019
Complex_4916,,"Q16626, Q96CW1",Heusel_BioPlex_2019
Complex_4917,,"Q16718, O75489",Heusel_BioPlex_2019
Complex_4918,,"P30519, Q15165",Heusel_BioPlex_2019
Complex_4919,,"P35610, Q9BZF1, P12236, P11021, O14967, P27824","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4920,,"P12236, P35610",Heusel_BioPlex_2019
Complex_4921,,"P11021, P62829",Heusel_BioPlex_2019
Complex_4922,,"P22087, P15880, Q12905",Heusel_BioPlex_2019
Complex_4923,,"P22087, Q12905",Heusel_BioPlex_2019
Complex_4924,,"Q9BTE1, Q9UJW0, Q14203, O00399, Q9NZ32, Q13561, O75935, P61163, P18433, P47755, P42025","Heusel_BioPlex_2019, Humap2, Heusel_CSB_2019"
Complex_4925,,"Q16576, Q13330",Heusel_BioPlex_2019
Complex_4926,,"Q2NL82, P15880, Q13895",Heusel_BioPlex_2019
Complex_4927,,"Q9H9Y6, O95602","Heusel_BioPlex_2019, Heusel_StringDB_2019, Heusel_CSB_2019"
Complex_4928,,"Q8IZA0, Q93050, Q9NRK6, Q9NZ53, Q96ER9, Q13308, Q8TCG1, P08581, Q14118, Q9NP58, Q13535, P10586, P98172, Q8TBA6","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4929,,"Q8IZA0, Q93050, Q9ULH0, Q13535",Heusel_BioPlex_2019
Complex_4930,,"Q9NZ53, Q13535",Heusel_BioPlex_2019
Complex_4931,,"Q3SXM5, Q9H4I3, Q9NQC3","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4932,,"P30154, P11021, P27824","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4933,,"Q9UHQ9, Q9Y672, Q9Y5Y0, Q8NHP6, Q8TC12, Q6ZXV5, P55011, Q9H1E5, Q96PU8, Q96S66, Q7Z2K6, P18031, Q9GZY4, Q8IYS2, Q9H813, P35610, Q8IWT6, Q8N766, P17301, A2RU67, Q9BU23, Q8IW92, O43292, P49792, Q8WY22, Q8NB49, Q96CP6","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4934,,"Q8IYS2, Q9UHQ9, Q9Y5Y0, Q8WY22, Q9BU23, Q96CP6, Q7Z2K6",Heusel_BioPlex_2019
Complex_4935,,"Q8N766, Q96S66, Q8IWT6, Q8TC12",Heusel_BioPlex_2019
Complex_4936,,"Q9GZY4, Q8IW92",Heusel_BioPlex_2019
Complex_4937,,"Q9H1E5, Q96PU8",Heusel_BioPlex_2019
Complex_4938,,"Q9BYG3, P22087, P15880",Heusel_BioPlex_2019
Complex_4939,,"P50750, O94992",Heusel_BioPlex_2019
Complex_4940,,"Q9H871, Q6VN20, Q7L5Y9, Q8IUR7, Q96S59",Heusel_BioPlex_2019
Complex_4941,,"Q9BYD3, Q9NYK5, Q9HD33, Q4U2R6, Q9NP92",Heusel_BioPlex_2019
Complex_4942,,"P50991, P78371, P17987, Q99832, P49368, P40227",Heusel_BioPlex_2019
Complex_4943,,"P49368, O95721, P17987, Q99832",Heusel_BioPlex_2019
Complex_4944,,"Q53HC9, Q9UID3",Heusel_BioPlex_2019
Complex_4945,,"Q3SXM5, Q8N0U8","Heusel_BioPlex_2019, Heusel_CSB_2019"
Complex_4946,,"Q9BTV4, Q96N66",Heusel_BioPlex_2019
