Complex_ID,Complex_Name,Subunits_UniProt_IDs,Database
Complex_83,RNA polymerase II core complex,"P62487, Q9BWH6, P19387, P61218, P19388, P52434, P53803, P35269, Q9Y5B0, P36954, P38398, P62875, O15514, P52435, Q00403, P24928, P30876, P13984","CORUM_Core, CORUM_All"
Complex_84,Polycomb repressive complex 2 (PRC 2),"Q09028, Q16576, Q15910, Q15022, O75530",CORUM_All
Complex_85,Srf-myogenin-E12 complex,"P12979, P15806, Q9JM73","CORUM_Core, CORUM_All"
Complex_86,TFIIH transcription factor complex,"P51948, P32780, Q13888, P19447, Q13889, Q6ZYL4, P50613, P18074, Q92759, P51946","Havugimana_2012, CORUM_Core, CORUM_All"
Complex_87,"Fertilin complex (Adam1b, Adam2)","Q60718, Q8R534","CORUM_Core, CORUM_All"
Complex_88,SNAPc (small nuclear RNA-activating protein) complex,"Q5SXM2, Q13487, Q16533, Q92966, O75971","CORUM_Core, Humap2, CORUM_All"
Complex_89,"Polycomb repressive complex 1 (PRC1, hPRC-H)","Q99496, Q14781, Q06587, O60264, Q8IXK0, P35226, Q8NDX5, P78364, P0DMV8, P25490, O00257, Q96GD3, Q9HC52","CORUM_Core, CORUM_All"
Complex_90,GPR56-CD81-Galpha(q/11)-Gbeta complex,"P60033, P62873, Q9Y653, P29992, P50148","CORUM_Core, CORUM_All"
Complex_91,GPI-GnT activity complex,"Q14442, Q9BRB3, P37287, Q92535","CORUM_Core, CORUM_All"
Complex_92,Lymphotoxin beta receptor complex,"Q06643, P36941, P01374","CORUM_Core, CORUM_All"
Complex_93,MCM complex,"P25206, P97311, P97310, Q61881, P49718, P49717",CORUM_All
Complex_94,Rnase/Mrp complex,"O75817, P78345, Q32NC0, Q9H633, O75818, O95059, Q9BUL9, P78346, Q99575, O95707, Q6NW34, Q969H6","CORUM_Core, Humap2, CORUM_All"
Complex_95,RGS9-GNB5-GNAT1-R9AP complex,"A5PJS1, Q8MJG0, O46469, P04695","CORUM_Core, CORUM_All"
Complex_96,CCT complex (chaperonin containing TCP1 complex),"P50991, P48643, P11142, Q9NY27, P78371, Q13371, P27708, O14530, P60510, P17987, Q13263, Q99832, Q92526, P49368, P40227, P50990, Q9H2J4","CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019, Kristensen_2012, Humap2, Havugimana_2012"
Complex_97,NDC80 kinetochore complex,"Q9HBM1, Q9BZD4, O14777, Q8NBT2","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019, Humap2, Havugimana_2012"
Complex_98,ORC complex (origin recognition complex),"O88708, Q9WUV0, Q9JK30, Q9Z1N2, Q9WUJ8, Q60862",CORUM_All
Complex_99,PIDDsome complex,"P78560, Q9HB75, P42575","CORUM_Core, CORUM_All"
