Protein A,Protein B
Q8N4P3,Q16204
Q8N4P3,P61586
Q8N4P3,Q96BM9
Q8N4P3,Q13740
Q8N4P3,Q29RF7
Q8N4P3,Q9NZN3
Q8N4P3,Q12972
Q8N4P3,P30519
Q8N4P3,Q99808
UNKNOWN,P33993
UNKNOWN,Q13330
UNKNOWN,O94776
UNKNOWN,O00267
UNKNOWN,Q96KQ7
P35225,P24394
P35225,P11277
P35225,P78552
Q14641,Q6ZT12
Q14641,Q96BS2
Q14641,P51688
O95751,Q86TG7
O95751,Q9NR09
Q86VG3,Q9P2L0
Q86VG3,Q96RY7
Q86VG3,Q9HBG6
Q86VG3,Q8NEZ3
Q8TAP4,Q86U70
Q8TAP4,P81877
Q8TAP4,Q9BWG4
Q8TAP4,Q9BWW4
Q8TAP4,O60663
O94772,Q9NYU1
O94772,Q68CR1
O94772,Q8NAT1
O94772,Q8IUR7
O94772,Q9UL63
O94772,Q9H871
O94772,Q6VN20
O94772,Q9H7D7
O94772,Q9UKP4
O94772,Q9UMR2
O94772,Q13443
O94772,Q7L5Y9
O94772,P08236
O94772,Q8IVV7
O94772,Q9NWU2
O94772,O60291
O94772,Q2TAA5
O94772,Q9NY97
O94772,Q9P2E5
O94772,Q8WWI5
O94772,Q96F46
O94772,Q9UIW2
O94772,Q5T4B2
O94772,O95897
O94772,P29122
O94772,Q6UW63
O94772,P49641
O94772,Q8NCH0
O94772,Q9UJH8
O94772,Q9H2X0
O94772,Q6P9A2
O94772,Q99943
P61626,Q8NBP0
P61626,Q96AE7
P61626,Q92545
P61626,P26885
UNKNOWN,Q9Y5L4
UNKNOWN,P13637
UNKNOWN,P30450
UNKNOWN,Q8NBL1
UNKNOWN,Q9Y5J9
UNKNOWN,P12109
UNKNOWN,Q2TB90
UNKNOWN,Q96BR5
UNKNOWN,O14967
UNKNOWN,Q6UW63
UNKNOWN,P48509
UNKNOWN,Q96S06
UNKNOWN,Q58WW2
UNKNOWN,P10620
UNKNOWN,Q9P2E5
UNKNOWN,O60220
UNKNOWN,Q13214
UNKNOWN,P35475
Q8NI22,P11021
Q8NI22,P49257
Q8NI22,Q9P2N7
Q8NI22,Q9P2J3
Q8NI22,Q2TB90
Q9UKK6,Q8WWF6
Q9UKK6,P01833
Q9UKK6,Q96DA0
Q9UKK6,P01877
Q9UKK6,P01876
Q9UKK6,P01036
Q9UKK6,P01037
P04054,Q58FF6
P04054,Q6ZT12
P04054,Q53GT1
O60896,P07437
O60896,Q13509
O60896,Q3ZCM7
O60896,Q6P4A7
O60896,P68366
O60896,Q71U36
O60896,Q9BQE3
O60896,P12235
O60896,P12236
O60896,Q8N4T8
O60896,Q8N1S5
O60896,O14967
O60896,Q9Y2P4
O60896,Q86UL3
O60896,P13637
O60896,Q9Y6N5
O60896,O75027
O60896,Q9H300
O60896,P30450
O60896,Q5XKP0
O60896,Q643R3
O60896,Q9HCU5
O60896,P31327
O60896,P33121
O60896,Q8TB37
O60896,Q9NRF8
O60896,O95470
O60896,Q9H061
O60896,O43824
O60896,Q9NVI1
O60896,Q6AI08
O60896,Q9Y3E5
O60896,Q9NP58
O60896,Q9Y4P3
O60896,O76024
O60896,Q53R41
O60896,Q07065
O60896,Q2TB90
O60896,Q9BXW7
O60896,Q96K37
O60896,Q969Z0
O60896,Q9H3K2
O60896,Q9NRZ5
O60896,O14975
O60896,Q9UM19
O60896,P62760
O60896,Q9UG56
O60896,Q9UMR2
O60896,Q9Y619
O60896,O75419
O60896,Q9H490
O60896,P62829
O60896,Q08AF3
O60896,Q96CM8
O60896,Q9H2V7
O60896,Q96C36
O60896,Q9Y426
O60896,Q6ZNB6
O60896,O14939
O60896,Q96ND0
O60896,Q8N490
O60896,P43353
O60896,Q9HC21
O60896,Q7L5N7
O60896,Q9BRY0
O60896,Q15526
O60896,Q6UW78
O60896,Q8NF37
O60896,Q8WYP5
O60896,Q9Y679
O60896,Q06136
O60896,O94955
O60896,Q5VWZ2
O60896,Q9H9P8
O60896,P30530
O60896,Q9H0V9
O60896,Q8TED1
O60896,Q9Y2B2
O60896,Q8WV60
O60896,P38435
O60896,Q9UPY5
O60896,Q9BSD7
O60896,Q8N8R3
O60896,Q9NXK8
O60896,Q96NB2
O60896,Q9NUQ2
O60896,Q9UM00
O60896,Q9P032
O60896,Q2TAA5
O60896,Q13608
O60896,P17931
O60896,Q8IY95
O60896,Q96SK2
O60896,P56589
O60896,P48509
O60896,P13498
O60896,Q16651
O60896,Q8WUM9
O60896,Q9UI12
O60896,P49768
O60896,Q9BVG9
O60896,Q8N2K0
O60896,O95674
O60896,Q8NDA8
O60896,Q68CQ7
O60896,Q8IZ69
O60896,Q9UQ90
O60896,P10620
O60896,Q96BM9
O60896,Q7LGA3
O60896,P43003
O60896,Q16625
O60896,Q9BWM7
O60896,P55085
O60896,O94910
O60896,Q6UXD5
O60896,Q9UL12
O60896,Q9NUI1
O60896,Q9UJ14
O60896,Q03169
O60896,Q68D91
O60896,Q96GD4
O60896,O15120
O60896,Q8N5G0
O60896,Q8N357
O60896,Q9BYC5
O60896,Q96GQ5
O60896,P20226
O60896,Q9HBR0
O60896,Q53EQ6
O60896,P33947
O60896,Q9C0C4
O60896,Q8WUY8
O60896,P30989
O60896,Q96SQ9
O60896,Q7KYR7
O60896,O94766
O60896,Q9HA92
O60896,Q8N0U8
O60896,Q6UW68
O60896,Q99943
O60896,O14880
O60896,Q6IAN0
O60896,Q9NY97
F5H0K7,P51965
F5H0K7,Q9NRF8
P39019,P05387
P39019,O15042
P39019,P16989
P39019,P67809
P39019,Q6PK04
P39019,O75533
P39019,Q9UNQ2
P39019,O75367
P39019,Q99575
P39019,Q9BVI4
P39019,P61247
P39019,P62269
P39019,Q9GZR7
P39019,P46783
P39019,Q8IY81
P39019,P15880
P39019,P05455
P39019,P23396
P39019,Q13435
P39019,Q9NR30
P39019,Q9NQ29
P39019,Q5JTH9
P39019,P39023
P39019,Q8NHQ9
P39019,P78362
P39019,Q9H7H0
P39019,Q9NUL3
P39019,Q96KR1
P39019,P62266
P39019,Q7L2E3
P39019,P62081
P39019,Q9NY93
P39019,P10412
P39019,P19338
P39019,Q9NY61
P39019,Q5SSJ5
P39019,Q9H6S0
P39019,Q9Y3C1
P39019,Q13206
P39019,Q96E29
P39019,P46782
P39019,Q8N9T8
P39019,O00567
P39019,Q5C9Z4
P39019,Q8NEJ9
P39019,P78316
P39019,Q96GA3
P39019,Q16777
P39019,Q8IUE6
P39019,O76021
P39019,O95793
P39019,Q9BRU9
P39019,Q9NUQ6
P39019,P62244
P39019,P22090
P39019,P62701
P39019,Q8TD47
P39019,O15226
P39019,Q9BZE4
P39019,Q6PKG0
P39019,Q659C4
P39019,O95363
P39019,P63220
P39019,Q9NWT1
P39019,Q15427
P39019,Q14692
P39019,P60866
P39019,P49711
P39019,Q96GQ7
P39019,Q9NSI2
P39019,P62841
P39019,Q96ME7
P39019,Q13601
P39019,Q14684
P39019,Q9NVP1
P39019,B4DV38
P39019,Q96GM8
P39019,Q9NX58
P39019,Q8IWX8
P39019,P18621
P39019,Q15646
P39019,P62979
P39019,Q9HCE1
P39019,O43422
P39019,P08865
P39019,O95503
P39019,P62750
P39019,Q13823
P39019,O95625
P39019,P46781
P39019,P08708
P39019,Q8WXA9
P39019,P84098
P39019,O00566
P39019,P57071
P39019,Q13243
P39019,Q13247
P39019,Q96QR8
P39019,Q00577
P39019,Q9NQ55
P39019,Q9NVU7
P39019,Q6SJ93
P39019,Q14137
P39019,Q9NV31
P39019,Q9NQZ2
P39019,Q9UGY1
P39019,Q15361
P39019,Q8NCD3
P39019,Q9NUD5
P39019,Q9H2U1
P39019,Q9BTD8
P39019,Q5JNZ5
P39019,P62854
P39019,Q9BU76
P39019,Q9ULW3
P39019,Q96G21
O15432,Q99720
O15432,O95870
O15432,P11117
O15432,Q01628
O15432,Q7Z2K6
O15432,O95674
O15432,O94919
O15432,P43005
O15432,O15431
Q96RS0,Q13564
Q05952,Q07021
Q05952,Q8NAF0
Q05952,Q14739
Q05952,Q96EB6
Q05952,Q96IT1
Q05952,Q96QC0
Q05952,Q9UNN5
Q15388,O75367
Q15388,Q9Y5B9
Q15388,Q9Y5J1
Q15388,Q16777
Q15388,Q8IUE6
Q15388,Q9UGP8
Q15388,O96008
Q15388,Q9NS69
Q15388,Q5TEC6
Q15388,P84243
Q15388,Q9UK73
Q15388,Q86WA6
Q15388,O14773
P83876,O94906
P83876,O75643
P83876,Q6P2Q9
Q13404,P61088
Q13404,Q15819
Q8N6M9,Q99460
Q8N6M9,P35998
Q8N6M9,Q58FG1
Q8N6M9,P43686
Q8N6M9,O43242
Q8N6M9,O00231
Q8N6M9,P62333
Q8N6M9,P17980
Q8N6M9,Q15008
Q8N6M9,Q13200
Q8N6M9,O00232
Q8N6M9,Q92878
Q9UC07,O94788
Q68DI1,O60313
Q68DI1,O15164
Q68DI1,Q9UPN9
Q68DI1,P45973
Q68DI1,Q9HCM9
Q9H112,P04350
Q9H112,P07437
Q9H112,Q13509
Q9H112,Q3ZCM7
Q9H112,P68366
Q9H112,Q71U36
Q9H112,Q9BQE3
Q9H112,P11021
Q9H112,Q96L15
Q9H112,O75882
Q9H112,P16144
Q9H112,P42892
Q9H112,Q14697
Q9H112,P30511
Q9H112,P30450
Q9H112,Q6S8J3
Q9H112,Q96PD2
Q9H112,O15031
Q9H112,P05362
Q9H112,O43278
Q9H112,Q9Y4K0
Q9H112,Q9UBV4
Q9H112,P55268
Q9H112,P13667
Q9H112,Q8NE01
Q9H112,Q14393
Q9H112,Q2TB90
Q9H112,Q95460
Q9H112,P00749
Q9H112,Q13501
Q9H112,Q9UKP4
Q9H112,Q5JTY5
Q9H112,Q13443
Q9H112,Q13683
Q9H112,P13497
Q9H112,Q8NFZ4
Q9H112,P14222
Q9H112,Q495W5
Q9H112,P01033
Q9H112,Q8N2E2
Q9H112,Q9NTN9
Q9H112,P07225
Q9H112,P08069
Q9H112,Q9UMR2
Q9H112,Q13751
Q9H112,P48509
Q9H112,Q9HC78
Q9H112,Q9BZ76
Q9H112,Q96NU0
Q9H112,O95897
Q9H112,Q24JP5
Q9H112,Q14849
Q9H112,Q86UD1
Q9H112,Q8NBK3
Q9H112,Q92692
Q9H112,Q2MV58
Q9H112,P37088
Q9H112,P35475
Q9H112,Q96AQ6
Q9H112,O95407
Q9H112,Q99519
Q9H112,Q9NVW2
Q9H112,P98153
Q9H112,Q9NUJ3
Q9H112,Q03405
Q9H112,Q641Q3
Q9H112,Q99943
Q9H112,Q5HYA8
Q9H112,Q8IXK2
Q9BVM4,P62750
P58335,O75342
P58335,Q9BPU6
P58335,Q8NEX9
Q9UHP7,P98194
Q9UHP7,Q9BZC7
Q9UHP7,Q8NDA8
Q9UHP7,Q5VW38
Q9UHP7,Q9BRY0
Q9UHP7,O15321
Q9UHP7,P43003
Q9UHP7,Q15386
Q9UHP7,Q5T601
Q9UHP7,Q9BVG9
Q9UHP7,O95674
Q9UHP7,Q9HBR0
Q9UHP7,Q96KC8
Q9UHP7,Q9ULF5
Q9UHP7,Q8WUX1
Q9UHP7,Q15800
Q9UHP7,Q14849
Q9UHP7,P51617
Q9UHP7,Q16585
Q9UHP7,O94910
Q9UHP7,Q8WYP5
Q9UHP7,Q7Z6J6
Q9UHP7,Q9NX61
Q9UHP7,Q9UJ14
Q9UHP7,O15120
Q9UHP7,Q9Y2U8
Q9UHP7,P37088
Q9UHP7,Q8NCW0
Q9UHP7,Q9Y3R5
Q9UHP7,Q96BD0
Q9UHP7,P79483
Q9UHP7,Q5SP12
Q9UHP7,P01920
Q9UHP7,Q9Y5Z0
Q9UHP7,Q9P0J7
Q9UHP7,Q9H0X4
Q9UHP7,Q9UPY5
Q9UHP7,O94766
Q9UHP7,Q9BQT9
Q9UHP7,Q6NSJ5
Q9UHP7,Q92544
Q9UHP7,P30989
Q9UHP7,Q9P0T7
Q9UHP7,Q96GC9
Q9UHP7,Q9UBU6
Q9UHP7,P12235
Q9UHP7,Q8N1S5
Q9UHP7,P13637
Q9UHP7,P54707
Q9UHP7,Q93084
Q9UHP7,P30511
Q9UHP7,P30450
Q9UHP7,Q6P9B9
Q9UHP7,Q6S8J3
Q9UHP7,Q969N2
Q9UHP7,Q9GZP9
Q9UHP7,O94829
Q9UHP7,Q9Y6D6
Q9UHP7,Q9Y6D5
Q9UHP7,Q5H8A4
Q9UHP7,Q9NVI1
Q9UHP7,O75027
Q9UHP7,Q6AI08
Q9UHP7,Q8IWV7
Q9UHP7,Q6P4Q7
Q9UHP7,Q8NE01
Q9UHP7,Q9H8M5
Q9UHP7,Q9NP58
Q9UHP7,A0FGR8
Q9UHP7,O14828
Q9UHP7,Q96HW7
Q9UHP7,Q86TM6
Q9UHP7,Q71U36
Q9UHP7,Q9Y619
Q9UHP7,Q8WTV0
Q9UHP7,Q9H2V7
Q9UHP7,P20020
Q9UHP7,Q8IWV8
Q9UHP7,Q9HC21
Q9UHP7,O94955
Q9UHP7,Q7Z2K6
Q9UHP7,Q9H583
Q9UHP7,A2VDJ0
Q9UHP7,Q9HD45
Q9UHP7,Q15165
Q9UHP7,Q9NV96
Q9UHP7,P48960
Q9UHP7,Q9H0V9
Q9UHP7,P38435
Q9UHP7,Q53R41
Q9UHP7,O75352
Q9P218,P54725
Q9P218,P49815
Q9P218,Q9BVM4
O00230,Q08174
O00230,Q9UK28
O00230,O14792
O00230,P48723
O00230,Q9BXS4
O00230,P02042
O00230,P12644
O00230,P48645
O00230,Q8N729
O00230,O43286
O00230,P41273
Q53RT3,P12236
Q8WVH0,Q9P218
Q8WVH0,O95260
Q8WVH0,Q6TFL4
P59103,O95865
Q4LDG9,P52306
Q4LDG9,O75342
Q8NAU1,P05109
Q8NAU1,P01834
Q8NAU1,Q8TDL5
Q8NAU1,Q92817
Q8NAU1,P0CG05
Q8NAU1,B9A064
Q8NAU1,O75367
Q8NAU1,P80303
Q8NAU1,O00748
Q8NAU1,Q9UIV8
Q8NAU1,Q16831
Q8NAU1,Q14134
Q8NAU1,O60437
Q8NAU1,P98160
Q8NAU1,Q53RT3
Q8NAU1,Q9NZT1
Q8NAU1,Q5K651
Q8NAU1,Q8N4F0
Q8NAU1,A8K2U0
Q8NAU1,Q9H2G2
Q8NAU1,O00391
Q8NAU1,P54920
Q8NAU1,P22735
Q8NAU1,Q07960
Q8NAU1,P02647
Q8NAU1,P32926
Q8NAU1,O60218
Q8NAU1,P01859
Q8NAU1,P01857
Q8NAU1,P13797
Q8NAU1,O95171
Q8NAU1,Q9H6S3
Q8NAU1,P0C869
Q8NAU1,Q96P63
Q8NAU1,P25311
Q8NAU1,Q07065
Q8NAU1,E9PBV3
Q8NAU1,Q13835
Q8NAU1,Q9HC84
Q8NAU1,P98088
Q8NAU1,P47929
Q8NAU1,O95833
Q8NAU1,P01833
Q8NAU1,P00738
Q8NAU1,P02788
Q8NAU1,P06702
Q8NAU1,P48594
Q8NAU1,P29508
Q8NAU1,P30838
Q8NAU1,O00204
Q8NAU1,Q96DA0
Q8NAU1,Q08188
Q8NAU1,P27482
Q8NAU1,Q8WVV4
Q8NAU1,Q02383
Q8NAU1,P00352
Q8NAU1,Q9UBG3
Q8NAU1,P02679
Q8NAU1,P13928
Q8NAU1,P16152
Q8NAU1,P20930
Q8NAU1,P29034
Q8NAU1,P80188
Q8NAU1,P07476
Q8NAU1,Q6ZN66
Q8NAU1,Q6P5S2
Q8NAU1,P06731
Q8NAU1,Q96TA1
Q8NAU1,P01024
Q8NAU1,O15231
Q8NAU1,P50452
Q8NAU1,P61020
Q8NAU1,P20339
Q8NAU1,P01009
Q8NAU1,P08571
Q8NAU1,Q9UBC9
Q8NAU1,Q8TAX7
Q8NAU1,P04745
Q8NAU1,P07996
Q8NAU1,P05120
Q8NAU1,P01871
Q8NAU1,Q9UN36
Q8NAU1,Q02487
Q8NAU1,O95994
Q8NAU1,Q92743
Q8NAU1,Q6XPR3
Q8NAU1,P18510
Q8NAU1,Q9NZD2
Q8NAU1,P00326
Q8NAU1,P01877
Q8NAU1,P01876
Q8NAU1,Q04828
Q8NAU1,O43240
Q8NAU1,Q9NP55
Q8NAU1,P21128
Q8NAU1,Q16651
Q8NAU1,Q96L46
Q8NAU1,Q8NEX9
Q8NAU1,P48735
Q8NAU1,Q6ZVX7
Q8NAU1,P01591
Q8NAU1,Q9Y446
Q8NAU1,Q5VVQ6
Q8NAU1,P61626
Q8NAU1,O60235
Q8NAU1,P12273
Q8NAU1,P02763
Q8NAU1,Q8TE68
Q8NAU1,Q9UGM3
Q8NAU1,Q16777
Q8NAU1,O75342
Q8NAU1,Q9UKR3
Q8NAU1,P02808
Q8NAU1,Q9P0G3
Q8NAU1,P20061
Q8NAU1,P27487
P02724,Q9NX00
P02724,Q8IY95
P02724,Q7Z5G4
P02724,Q9C0B5
Q9UK76,Q9P218
Q9UBH0,Q99757
P27449,Q96G23
P27449,Q3ZAQ7
P27449,P06576
P27449,O75787
P27449,P25705
P27449,P30049
P27449,Q8NBN3
P27449,Q96B77
P27449,Q16864
P27449,E9PL57
P27449,Q06136
P27449,Q7Z2K6
P27449,P24539
P27449,P48047
P27449,Q9UQM7
P27449,Q4ZIN3
P27449,P05496
P27449,Q15904
P27449,P03928
P27449,Q5BJH7
P27449,O75964
P27449,Q8N511
P27449,P00846
P27449,O15533
P27449,Q86VR2
P27449,Q96NT0
P27449,Q96G97
P27449,Q9UII2
P27449,Q96D05
O14880,O60361
P60660,P35579
P60660,P35580
P60660,Q7Z406
P60660,Q92614
P60660,P46940
P60660,Q13576
P01160,Q9NRF8
P01160,Q8TEL6
P01160,O15240
P01160,P22392
P01160,Q9BRT8
P01160,Q86U28
P01160,Q8WV74
Q9P0S3,Q9BVM4
P98179,O14744
P98179,Q9GZT8
P98179,Q99873
P98179,Q9NYY8
P98179,Q6TFL4
P98179,Q9UJ70
P98179,Q8IYB8
P98179,Q96LA8
Q0D2K3,Q04724
Q0D2K3,Q04725
Q0D2K3,Q04726
Q0D2K3,Q08117
Q0D2K3,P15259
Q0D2K3,Q99447
Q0D2K3,Q7Z6M1
Q0D2K3,Q13564
P07998,Q96SI9
P07998,P55265
P07998,P13489
P07998,P09651
Q9Y3C5,P12931
Q9Y3C5,Q8WUM9
Q9Y3C5,P10586
Q9Y3C5,Q08345
P62750,Q99733
P62750,P19338
P62750,P16989
P62750,P67809
P62750,Q6PK04
P62750,P46783
P62750,Q9H6S0
P62750,Q96JP5
P62750,P61247
P62750,Q9GZR7
P62750,Q8IY81
P62750,P15880
P62750,Q9BYN8
P62750,P23396
P62750,P05388
P62750,P39023
P62750,Q9H5H4
P62750,P78362
P62750,Q9NUL3
P62750,Q7L2E3
P62750,Q9NY93
P62750,P10412
P62750,Q9BYD2
P62750,Q9Y3C1
P62750,Q9UNX3
P62750,Q9BYC8
P62750,Q99459
P62750,Q8N9T8
P62750,Q96GC5
P62750,Q8IUE6
P62750,P82664
P62750,P22090
P62750,O15226
P62750,Q9BZE4
P62750,Q9NWT1
P62750,Q9ULW3
P62750,Q9Y4B6
P62750,P62841
P62750,P82673
P62750,Q13601
P62750,Q9UHA3
P62750,Q9NVP1
P62750,P18621
P62750,Q9Y291
P62750,Q86U38
P62750,Q13206
P62750,Q7Z7F7
P62750,P08865
P62750,Q9H2U1
P62750,Q15397
P62750,Q96PZ2
P62750,Q8WTT2
P62750,Q96EL2
P62750,Q96QC0
P62750,Q14692
P62750,P46781
P62750,Q9P015
P62750,O60783
P62750,Q5T653
P62750,P49711
P62750,P26373
P62750,O00566
P62750,Q96QR8
P62750,Q00577
P62750,Q9NQ55
P62750,Q7L3S4
P62750,P49354
P62750,Q9NQZ2
P62750,Q9NZE8
P62750,O75569
P62750,O15479
P62750,Q9HC36
P62750,Q9NVS2
P62750,Q9Y3D5
P62750,Q9NRX2
P62750,Q9BQC6
P62750,Q8WXA9
UNKNOWN,Q9UK22
UNKNOWN,P63208
UNKNOWN,Q8N2E2
UNKNOWN,O94788
UNKNOWN,P17050
UNKNOWN,Q96IV0
UNKNOWN,Q86UD1
UNKNOWN,O95897
UNKNOWN,Q8NI29
Q9H633,O95059
Q9H633,Q99575
Q9H633,Q8N5L8
Q9H633,Q70CQ2
Q9H633,Q96BF6
Q9H633,O75818
Q9H633,Q5W0B1
Q9H633,P61289
Q9H633,P78346
Q9H633,Q9GZU8
Q9H633,P78345
Q9H633,Q96DA0
Q9H633,O75817
Q9H633,Q9BT73
Q9H633,Q5JS54
Q9H633,Q96EB6
P62280,P61247
P62280,Q9GZU8
P62280,Q9BT73
O15126,O75165
O15126,P35558
Q6ZT89,Q99832
Q6ZT89,Q7L5D6
Q6ZT89,Q9H2J4
Q6ZT89,P17987
Q6ZT89,Q9H078
Q6ZT89,Q71U36
Q6ZT89,Q6Q0C0
Q6ZT89,Q13371
Q6ZT89,Q6AI12
Q6ZT89,Q969F9
Q6ZT89,Q99700
Q6ZT89,O14530
Q6ZT89,Q53HC9
Q6ZT89,P49005
Q6ZT89,P42694
Q8WVK2,P28482
Q8WVK2,Q9Y5L0
P00441,O14618
Q8N9Q2,P19784
Q8N9Q2,P68400
Q8N9Q2,Q9Y4C2
Q8N9Q2,P67870
Q8N9Q2,Q9NP55
Q8NCS4,P16401
Q8NCS4,Q13228
Q8NCS4,O60858
Q8NCS4,P49674
Q8NCS4,Q9Y4K1
Q8NCS4,O95147
Q8NCS4,Q8TF66
Q8NCS4,Q86SJ6
Q8NCS4,Q16777
Q8NCS4,Q5VU13
UNKNOWN,P67812
UNKNOWN,F6XY72
UNKNOWN,Q9UBV2
UNKNOWN,Q96F86
UNKNOWN,Q9NY47
UNKNOWN,Q9Y2I1
UNKNOWN,Q58FG1
UNKNOWN,A5A3E0
UNKNOWN,Q8TB37
UNKNOWN,Q9H4M9
UNKNOWN,Q71U36
UNKNOWN,Q6UVK1
UNKNOWN,P12110
UNKNOWN,Q9BRT8
UNKNOWN,O43543
UNKNOWN,Q9NUJ3
UNKNOWN,P07437
UNKNOWN,Q8N9N5
UNKNOWN,O75771
UNKNOWN,P50613
UNKNOWN,P51948
UNKNOWN,Q9HCU4
UNKNOWN,O43502
P63146,Q9P218
Q96K76,Q9P218
Q9H898,Q9H3G5
Q9H898,Q8IYB8
Q9H898,Q9UPY3
Q9H898,Q9UL40
Q9H898,O75569
Q9H898,P51687
P15621,Q13263
P15621,Q9P215
P15621,Q8NBN7
P15621,Q71U36
P15621,Q9Y5Q8
P15621,Q9H4L7
P15621,Q9BU02
P15621,Q9UPN9
P15621,O14628
P15621,Q9NQB0
P15621,Q96RU7
Q8NEQ5,Q96N66
Q5BVD1,Q8NBM4
Q5BVD1,O76024
Q5BVD1,O15439
Q5BVD1,Q9Y2P4
Q5BVD1,Q9HD20
Q5BVD1,P55011
Q5BVD1,O75165
Q5BVD1,Q643R3
Q5BVD1,Q6PCB7
Q5BVD1,Q6P1M0
Q5BVD1,Q12770
Q5BVD1,Q9HCU5
Q5BVD1,Q9NQ11
Q5BVD1,Q9NZ43
Q5BVD1,Q12772
Q5BVD1,Q14534
Q5BVD1,P27037
Q5BVD1,Q6NUM9
Q5BVD1,Q9Y394
Q5BVD1,O14975
Q5BVD1,Q9UGP8
Q5BVD1,Q9Y666
Q5BVD1,Q9UP95
Q5BVD1,Q8NEN9
Q5BVD1,Q9BZC7
Q5BVD1,Q14139
Q5BVD1,P51790
Q5BVD1,Q8TC12
Q5BVD1,Q7Z403
Q5BVD1,Q12981
Q5BVD1,Q9BVA1
Q5BVD1,Q16850
Q5BVD1,A2RRP1
Q5BVD1,Q9NXH8
Q5BVD1,P30530
Q5BVD1,Q03519
Q5BVD1,P07099
Q5BVD1,Q9BXP2
Q5BVD1,Q7Z6J6
Q5BVD1,Q6NXT4
Q5BVD1,Q9NV66
Q5BVD1,O15554
Q5BVD1,Q8WU76
Q5BVD1,Q6NT55
Q5BVD1,Q86Y07
Q5BVD1,Q9NUQ2
Q5BVD1,Q92604
Q5BVD1,Q8WWY8
Q5BVD1,O00220
Q5BVD1,Q5VV42
Q5BVD1,Q9Y4P3
Q5BVD1,Q5T3F8
Q5BVD1,Q2TAA5
Q5BVD1,Q96G97
Q5BVD1,O00519
Q5BVD1,Q5SNT2
Q5BVD1,O15120
Q5BVD1,Q5K4L6
Q5BVD1,Q8WUY1
Q5BVD1,Q9H6A9
Q5BVD1,Q3MIP1
Q5BVD1,Q96SQ9
Q5BVD1,Q6NSJ5
Q5BVD1,Q6PJF5
Q5BVD1,Q99943
P47902,O95373
P47902,Q13618
P47902,Q8WVZ9
P47902,Q86V97
P47902,Q9BVM4
Q9UBR5,P48060
P24752,P08670
Q9NVM1,Q8WVC6
Q9NVM1,Q86Y07
Q9NVM1,A2VDJ0
Q9NVM1,O43826
Q9NVM1,Q9Y3E5
Q9NVM1,Q9Y4P3
Q9NVM1,Q9Y394
Q9NVM1,Q9H3K2
Q9NVM1,O75954
Q9NVM1,P11117
Q9NVM1,Q96CP6
Q9NVM1,P04035
Q9NVM1,Q16850
Q9NVM1,Q9NV66
Q9NVM1,Q7Z6J6
Q9NVM1,Q8NEN9
Q9NVM1,P27037
Q9NVM1,P30530
Q9NVM1,Q5VV42
Q9NVM1,Q5SNT2
Q9NVM1,Q5K4L6
Q8N5H3,Q9Y244
Q8N5H3,Q969U7
P24522,Q9Y606
P24522,Q9Y6R4
P24522,Q7Z333
P24522,Q9UMR2
P24522,Q8IZ69
O95257,Q7Z333
O95257,Q9Y6R4
O95257,Q92466
O95257,Q504T8
Q32M92,Q96S52
Q32M92,O15118
Q32M92,O43462
Q9Y4H4,P27348
Q9Y4H4,P31946
Q9Y4H4,P61981
Q9Y4H4,P62258
Q9Y4H4,P63104
Q9Y4H4,Q96SZ6
Q9Y4H4,P63096
Q9Y4H4,O95260
Q9Y4H4,Q7Z7A3
Q9Y4H4,O43189
Q96PD4,A5A3E0
Q96PD4,P30532
Q96PD4,Q13501
Q96PD4,P13611
Q96PD4,Q8N2E2
Q96PD4,Q14145
Q96PD4,P98160
P05161,P51451
O43908,Q9NUQ9
O43908,P62834
P62502,P12931
P62502,Q6UW63
P62502,P11021
P62502,A5A3E0
P62502,P13497
P62502,Q8NBL1
P62502,Q13438
P62502,Q96ND0
P62502,O14792
P62502,Q9NY97
P62502,Q8NE01
P62502,O60488
P62502,Q9P2E5
P62502,Q9BZC7
P62502,Q9H3T3
P62502,Q96F46
P62502,P35475
P62502,Q9NRB3
P62502,Q9UKU6
P62502,Q9Y2E5
P62502,Q5T4B2
P62502,O75462
P62502,Q9NTN9
Q9UDX5,Q9H078
Q9UDX5,Q96BR5
Q3KNT7,Q96L91
Q3KNT7,Q96RY7
Q3KNT7,O94761
Q3KNT7,Q7L5D6
Q3KNT7,P11142
Q3KNT7,Q7Z333
Q3KNT7,Q6PFW1
Q3KNT7,Q86VI3
Q3KNT7,Q6R327
Q3KNT7,P42694
Q3KNT7,O95248
Q3KNT7,P78395
Q3KNT7,Q9Y2Z2
Q3KNT7,P68366
Q3KNT7,Q71U36
Q3KNT7,Q9BQE3
Q3KNT7,Q9NWZ5
Q3KNT7,Q9C0B7
Q3KNT7,Q5THK1
Q3KNT7,Q08AF3
Q3KNT7,P07437
Q3KNT7,Q12980
Q3KNT7,Q9Y4C2
Q3KNT7,Q96EX3
Q3KNT7,Q9NNW5
Q3KNT7,Q63ZY6
Q3KNT7,Q96P11
Q3KNT7,Q9NZ71
Q3KNT7,Q99707
Q3KNT7,Q5JTY5
Q3KNT7,P43353
Q3KNT7,Q658Y4
Q3KNT7,Q9UMR2
Q3KNT7,Q14999
Q3KNT7,Q14244
Q3KNT7,Q13613
Q3KNT7,Q969F9
Q3KNT7,Q13049
Q3KNT7,Q9BWH6
Q3KNT7,O15014
Q3KNT7,Q504T8
