Protein A,Protein B
Q9H2R5,Q9H0X4
Q9H2R5,Q12891
Q7Z6A9,P13497
Q7Z6A9,P11021
Q7Z6A9,P55268
Q7Z6A9,Q8IZ69
Q7Z6A9,Q9H9K5
Q7Z6A9,Q9UMR2
Q7Z6A9,P12110
Q7Z6A9,Q6UWY0
Q7Z6A9,P07996
Q7Z6A9,Q9BRT8
Q7Z6A9,P22455
Q7Z6A9,Q13751
Q7Z6A9,O95396
Q7Z6A9,Q9NUQ8
Q7Z6A9,P00374
Q7Z6A9,P78346
Q7Z6A9,Q01459
Q7Z6A9,Q86UD1
Q7Z6A9,P29122
Q7Z6A9,P34820
Q7Z6A9,Q96F46
Q7Z6A9,Q641Q3
A4QMS1,Q9BTT6
A4QMS1,Q9BV68
A4QMS1,Q9Y3A5
A4QMS1,P11226
A4QMS1,Q9H3S4
A4QMS1,Q5TEJ8
A4QMS1,P24158
Q96PB8,Q9P2X3
Q96PB8,P30613
Q96PB8,Q5SWX8
Q96PB8,Q9ULA0
Q96PB8,Q8IZ07
Q96PB8,Q16763
P11226,P25787
P11226,P25788
P11226,P20618
P11226,P60900
P11226,P49721
P11226,P25786
P11226,Q8IUE1
P11226,Q99436
P11226,O75648
P11226,P28070
P11226,Q14997
P11226,Q86XK2
P11226,P49720
P55083,Q9Y6L7
P55083,P13497
P55083,Q13217
P55083,Q9Y2E5
P55083,Q9NYU1
P55083,Q6UW63
P55083,Q9BWS9
P55083,P55268
P55083,Q14703
P55083,P34059
P55083,Q92791
P55083,P07237
P55083,Q9BZQ6
P55083,Q96L15
P55083,Q8NBP0
P55083,O15230
P55083,Q8IWF2
P55083,Q8NAT1
P55083,Q8NBN7
P55083,Q9NUL7
P55083,Q9Y4K0
P55083,Q04724
P55083,Q04725
P55083,Q04726
P55083,Q08117
P55083,P39060
P55083,Q9UH99
P55083,O75462
P55083,Q96AE7
P55083,Q9H2X0
P55083,O14657
P55083,P22607
P55083,Q13751
P55083,Q8IVL6
P55083,Q96AQ6
P55083,Q92545
P55083,P00749
P55083,Q9P2E5
P55083,Q6P9A2
P55083,P54802
P55083,O75051
P55083,P51805
P55083,Q9UIW2
P55083,Q9UKP4
P55083,Q8TD47
P55083,O95158
P55083,P14222
P55083,Q495W5
P55083,Q8TED1
P55083,P08236
P55083,P07996
P55083,Q92729
P55083,Q15155
P55083,Q13214
P55083,Q6ZMP0
P55083,Q16880
P55083,Q8WUJ3
P55083,Q5T4B2
P55083,Q09328
P55083,O94898
P55083,O00391
P55083,Q6UVK1
