ComplexID,Subunits_UniProt_IDs
C_239,"Q9Y6N9,Q96PV0,Q8TF72,Q96ER3"
C_240,"Q01085,P51649,O14828,Q9NR56"
C_241,"Q13472,O75529,O75528,P83369"
C_242,"P12268,P20839,P00390,P15328"
C_243,"Q9Y3U8,O75676,Q86XP3,Q9BQ61"
C_244,"Q9BRP8,P11388,Q96GM8,Q9BZI7"
C_245,"Q9H269,Q8NBM4,Q2NL82,Q9BVS4"
C_246,"Q01082,Q6SPF0,P98179,O14818"
C_247,"P00558,Q9H3K6,P09972,P04075"
C_248,"P82930,Q5JTJ3,P56134,P18859"
C_249,"P08670,Q8TCY9,Q9P258,Q9P0W2"
C_250,"Q9BSE5,Q15020,Q6P161,Q9Y247"
C_251,"P35237,P18827,P23526,P49915"
C_252,"Q8IXQ6,Q9H9Q4,Q14CX7,P61599"
C_253,"Q15904,Q13501,Q99729,P22626"
C_254,"O75674,O00506,Q16512,P45984"
C_255,"Q9NYL9,P63165,Q9BWH6,Q9H2H8"
C_256,"O95299,Q9UHQ9,P39210,P00533"
C_257,"P13667,Q9UMX5,Q92597,O60271"
C_258,"Q6P3W7,P07738,P57721,Q96T58"
C_259,"P12956,P13010,Q01664,Q13017"
C_260,"Q9NY27,O60664,Q14126,Q9Y6H1"
C_261,"Q14186,Q9HAU5,Q8WWY3,Q9H074"
C_262,"Q9UP95,Q8TCC3,Q96EY7,Q04941"
C_263,"Q8WZ42,Q9H061,Q01130,P82650"
C_264,"P31153,Q00266,Q03426,P53990"
C_265,"O75477,O75746,O43633,Q9BRQ6"
C_266,"Q9NRS6,Q96H20,Q9HCE5,Q86U44"
C_267,"P61586,Q15165,O60664,O14974"
C_268,"Q29RF7,P09874,O00159,Q9NR30"
C_269,"O94966,O95881,Q9Y490,Q15742"
C_270,"O76080,Q8TF74,P09132,Q9BWU0"
C_271,"P36954,P48729,A8MYJ9,Q16630"
C_272,"Q01658,Q14919,P16220,P17544"
C_273,"P11182,P38117,P13804,P09622"
C_274,"O43504,Q9H8Y8,O95817,Q99933"
C_275,"Q9P0L0,Q9UKD2,Q96PK2,P63241"
C_276,"Q9H0D6,Q70J99,O94966,Q6IQ26"
C_277,"P50552,Q9BWD1,O75131,Q4VCS5"
C_278,"Q8IY81,Q9Y4C8,Q9UKD2,P35659"
C_279,"P17693,P43304,Q9H936,Q96CS3"
C_280,"Q9UNY4,Q92547,Q03169,P24752"
C_281,"Q01105,A6NEC2,P07737,O00221"
C_282,"Q86XZ4,Q5TBB1,P01111,Q9Y5K6"
C_283,"P26038,P13804,P55084,P40939"
C_284,"Q9P0S9,Q9NUH8,Q9H9B4,Q14257"
C_285,"Q92889,P63146,P63208,P07992"
C_286,"P46060,P35241,P30041,Q14686"
C_287,"P37802,P62937,Q9BY32,P06733"
C_288,"Q8WXC6,Q9Y2U8,P33316,Q9UFG5"
C_289,"Q9UMY4,P25815,O15355,Q96CN5"
C_290,"P63027,Q9NUW8,Q12931,P62158"
C_291,"O00308,Q96JC1,Q9H270,Q9H9C1"
C_292,"Q9HBM1,Q8NBT2,Q9BZD4,O14777"
C_293,"O75717,Q12931,Q9NTZ6,Q8NHP8"
C_294,"O15357,Q9NYT0,Q15555,Q8WYQ5"
C_295,"Q96P11,Q9BTC8,Q16539,Q14004"
C_296,"Q9Y5L0,Q92973,O00410,Q8TEX9"
C_297,"Q9UH65,P51692,Q86UX6,Q96DM3"
C_298,"O14975,Q92785,Q14980,Q92542"
C_299,"Q15012,O00425,Q1KMD3,O60812"
C_300,"P13647,P12035,P02533,P06756"
C_301,"Q13813,Q15691,P15170,Q5VYK3"
C_302,"P61244,Q9H0L4,Q12996,P33240"
C_303,"P63165,Q14914,P30044,Q9BW83"
C_304,"Q9UHG3,Q9Y639,P61916,P19404"
C_305,"P13984,Q8NFJ5,Q14568,P38646"
C_306,"Q9H2G2,Q14108,P11234,Q15233"
C_307,"P49591,Q8TCS8,O00151,O43716"
C_308,"Q6P4I2,Q9Y6N9,P22314,Q96D46"
C_309,"Q9BXS6,A8MXV4,P61916,Q15599"
C_310,"Q9BTD8,Q13416,Q99567,Q9H1E3"
C_311,"P31350,O43447,P22061,P31150"
C_312,"Q9NZ09,P09211,P62736,P31946"
C_313,"Q96B26,Q15024,Q9NPD3,Q9H0S4"
C_314,"Q8WXH0,P57105,Q14197,O96005"
C_315,"Q9BYJ9,P50454,Q6UWE0,O43813"
C_316,"Q96H79,P18206,Q15124,Q9H3Z4"
C_317,"Q9NZD8,P35080,Q86TG7,Q01581"
C_318,"O14776,P37840,P07602,Q8TB36"
C_319,"Q96ST3,Q96HC4,Q9UIJ7,Q99798"
C_320,"Q96NB3,Q8TF74,Q9BWU0,O60341"
C_321,"P21127,Q92572,O14617,O00203"
C_322,"Q96S82,Q6IBS0,O75688,Q8TAE6"
C_323,"O43709,Q9UNH7,O75628,O60346"
C_324,"P53350,Q96IY1,O14777,P14635"
C_325,"Q8N1G0,Q8N2C7,Q13247,O75494"
C_326,"Q17R98,O75348,P36543,O14828"
C_327,"P12081,Q92597,O60271,P08758"
C_328,"Q96JM3,Q7Z2W7,Q96SB4,Q12874"
C_329,"Q96EB1,Q9H9T3,Q6IA86,O95163"
C_330,"Q8TED0,Q9NZM5,Q969X6,Q99873"
C_331,"O75347,P25815,P62306,Q96CN5"
C_332,"Q92600,Q8WVV9,O75175,A5YKK6"
C_333,"Q96H20,Q8IVD9,Q9HCE5,P52789"
C_334,"Q9Y2W2,Q13309,A8MWD9,P08579"
C_335,"Q9Y5J6,Q8IUX1,Q8IX01,P11717"
C_336,"P14649,P60660,P55084,P17661"
C_337,"Q6XQN6,P00492,Q8TDW7,P07741"
C_338,"Q9Y487,Q6ZRP7,O75431,Q00325"
C_339,"Q5JTD0,Q9Y570,Q9Y266,P04080"
C_340,"Q99805,P04844,P30101,P27824"
C_341,"P12004,Q13112,Q13111,Q9NWV8"
C_342,"A6NFI3,Q9UQR1,Q96MX6,Q15126"
C_343,"Q96PF2,P17600,Q9BXP5,O43166"
C_344,"O75410,O00584,Q9UHG3,O14745"
C_345,"O00193,Q01105,P14649,P60660"
C_346,"Q9HAV4,Q9GZS3,Q9Y6N9,Q9Y5K5"
C_347,"P49755,Q9UKN8,Q6NZI2,Q03135"
C_348,"Q9Y2Z0,P25815,Q96CN5,Q13619"
C_349,"Q9Y490,Q15742,P05556,P08648"
C_350,"Q6NZY4,Q96RU2,Q29980,O14578"
C_351,"O00165,Q92839,Q8TEQ6,Q01844"
C_352,"Q6PML9,P35080,Q9BQ95,O43143"
C_353,"P40818,P62253,Q9NSD9,Q9Y285"
C_354,"Q9BZK7,O00233,Q14019,O95400"
C_355,"Q9HCC0,O94992,Q9H5V9,P10809"
C_356,"A8MWD9,P11117,P20645,Q15067"
C_357,"Q9HAU5,Q6ZRQ5,Q6PI98,Q9NRG0"
C_358,"Q7Z2W4,Q96DA6,Q9NWH9,O00442"
C_359,"Q9UQE7,Q14683,O60216,Q6KC79"
C_360,"O43264,Q9NYU2,P50748,Q7Z460"
C_361,"Q8WX93,P42126,P14854,Q15067"
C_362,"Q9UJC5,Q14914,Q06830,P30086"
C_363,"Q7Z6E9,Q06323,Q9NRX4,Q9HBI1"
C_364,"Q96PK2,P63241,P55265,Q92841"
C_365,"Q96TA2,P51398,Q92552,Q9Y3D9"
C_366,"P12081,P42356,P11413,P41214"
C_367,"Q6P4R8,Q9ULG1,Q6PI98,Q9H981"
C_368,"P57721,Q01813,P17858,P08237"
C_369,"P49591,Q8WX93,Q58FG1,O43716"
C_370,"O14949,O14957,Q9H7Z7,Q96KA5"
C_371,"Q9C0D4,Q9NVG8,Q9Y6Y8,Q2M296"
C_372,"O95219,Q75QN2,Q9NVH2,Q9H0H0"
C_373,"Q15061,Q8TED0,O95071,Q969X6"
C_374,"Q7L1V2,Q9NS86,P48637,P50750"
C_375,"P55072,P49321,O75369,O60678"
C_376,"Q8TEA7,Q92783,Q9HD47,O14964"
C_377,"O15173,P11182,P33527,Q8NE86"
C_378,"Q9NUN5,Q07666,A1L0T0,P07910"
C_379,"Q99848,Q96GQ7,Q8TDN6,Q9BZZ5"
C_380,"P53007,Q5SRD1,Q9UJ83,Q96A26"
C_381,"Q07157,Q9UMY4,Q9NQC3,Q16270"
C_382,"Q15070,Q92887,Q14126,Q9Y6H1"
C_383,"Q9UH65,P11908,P60891,Q96DM3"
C_384,"Q12888,P57740,P05976,Q9BR76"
C_385,"P51649,Q9BQ15,P04179,Q92733"
C_386,"O00401,Q9Y6W5,Q9BXK1,Q96RU3"
C_387,"Q8NH73,Q15843,Q9Y3D2,O14672"
