ComplexID,Subunits_UniProt_IDs
Complex_152,"Q9Y315,Q16626"
Complex_153,"O43143,Q9UBK8"
Complex_154,"O60610,Q07866,Q9H0B6,Q9NSK0,Q9H3S7,Q5MIZ7"
Complex_155,"Q9UBS4,Q9H4F8"
Complex_156,"Q9UDY4,P55209"
Complex_157,"Q05193,Q9H1B7,Q9BXW9,O75607,P09661"
Complex_158,"Q6XZF7,O75822,Q01970"
Complex_159,"Q9NY33,P43490"
Complex_160,"Q9UHL4,P19174,P11216,Q9NPQ8,P82979,Q9GZS3"
Complex_161,"0,P51692"
Complex_162,"Q01658,Q9HD26,Q05086"
Complex_163,"P55039,O95747"
Complex_164,"P63167,O60506"
Complex_165,"A6NGJ0,Q9BY44"
Complex_166,"P24534,B4DTG2,B0V043"
Complex_167,"P29692,O75832"
Complex_168,"O00418,Q9UBE0"
Complex_169,"Q8N3D4,P27816,P24928,B7Z6D1,Q8TF05,Q9NQX3"
Complex_170,"P47813,Q9H074,Q12792"
Complex_171,"P55884,O75821,Q13347"
Complex_172,"Q15056,P06280"
Complex_173,"P55010,Q9BS26,A8K6S3"
Complex_174,"P63241,O94925"
Complex_175,"Q9BQ52,0,Q15631,B1AKJ5,O60925,Q08209,Q9HAV4"
Complex_176,"B4DXP0,O75643"
Complex_177,"Q9H9T3,Q2M389,Q70CQ2"
Complex_178,"Q96EB1,Q7LBC6,Q7Z4S6,Q96HR8,P14678"
Complex_179,"0,P31948"
Complex_180,"Q9Y6I3,Q6PKC0"
Complex_181,"P42566,Q9BW27"
Complex_182,"Q8IV48,Q99729,Q9H4A3"
Complex_183,"Q13868,P10599"
Complex_184,"Q9NPD3,P16401"
Complex_185,"Q15018,O14530"
Complex_186,"Q641Q2,Q7Z3U7"
Complex_187,"Q9Y285,P05386"
Complex_188,"Q9NSD9,P22102,O00469,Q9H6Z4,Q01105,B3KUB9,C9JUW1"
Complex_189,"P49327,A0MZ66,Q96EB6,P67936"
Complex_190,"P14324,Q32Q12,P13797"
Complex_191,"Q96AY3,P52597,Q15435,Q14166"
Complex_192,"B2ZZ83,Q14315,Q13501"
Complex_193,"P49354,O00151"
Complex_194,"Q86TX8,Q9H3U1"
Complex_195,"O94915,Q9BZK7"
Complex_196,"F5H1X1,Q96NT1,Q9UL42"
Complex_197,"Q06546,Q9Y223,Q8NI08,C9J837,Q9H2M9,Q9BSV6"
Complex_198,"P41250,Q99614"
Complex_199,"P48506,Q9Y617"
Complex_200,"P48507,P04899,B4DHM0"
Complex_201,"Q92616,O76094,E7EN22"
Complex_202,"Q7L5D6,P42345,Q9BUL9"
Complex_203,"Q9Y5P6,Q14432"
Complex_204,"P08754,P61978"
Complex_205,"P35052,P10644"
Complex_206,"P29084,P16403"
Complex_207,"P78347,Q02818"
Complex_208,"0,Q15691,P62304,P62306"
Complex_209,"P0C0S5,Q01726,P06737,B7Z3P1,Q96Q11"
Complex_210,"Q00341,B7Z2R8"
Complex_211,"Q86Y56,Q9NYU2"
Complex_212,"Q5T447,P26447"
Complex_213,"Q15751,Q96GA3"
Complex_214,"O94992,A6NMQ1,P49643,Q9C0C9"
Complex_215,"P04908,Q86WB0"
Complex_216,"P19367,Q9Y263,Q13885,Q04323"
Complex_217,"P26583,Q8NBS9"
Complex_218,"0,P30153"
Complex_219,"Q00613,O60664"
Complex_220,"Q58FF8,O75153,Q15785,O95361"
Complex_221,"P08107,Q9H853,Q16881"
Complex_222,"B4DI54,Q9BUF5"
Complex_223,"O43719,0,P52434"
Complex_224,"P42858,Q02878,P40818"
Complex_225,"O95163,B3KRL7"
Complex_226,"P12268,Q6Q3G8"
Complex_227,"O15357,Q9NS87,P50851,Q15773,Q99575,E9PB02"
Complex_228,"Q9UI26,Q9UBP6,Q14738"
Complex_229,"Q8TEX9,P48200,P23921"
Complex_230,"Q92945,Q09161"
Complex_231,"Q53EL1,P02545,B1AHD1,O75116,O43264"
Complex_232,"O60333,O00754"
Complex_233,"P52294,Q9UPQ0,P06748,0"
Complex_234,"O00629,O00743"
Complex_235,"Q14974,P62877"
Complex_236,"P55268,Q86UV5"
Complex_237,"Q9Y333,B3KUY2,Q9H0U4"
Complex_238,"P11137,Q9UQ80"
Complex_239,"P49736,Q14566,Q99873,P33993"
Complex_240,"Q9BTE3,Q6P4R8"
Complex_241,"Q13126,Q9NRF9"
Complex_242,"Q99707,P31321"
Complex_243,"Q99417,Q8WUM0"
Complex_244,"Q6XQN6,O95294"
Complex_245,"P62166,Q9UHB9"
Complex_246,"Q8IVD9,Q96S82"
Complex_247,"O43809,Q9Y5A9"
Complex_248,"Q12769,Q8NFH4,Q8NFH3"
Complex_249,"Q5SRE5,Q14651"
Complex_250,"Q92621,Q2TAL8"
Complex_251,"Q9BXS6,Q9UNF0,Q6EMK4,Q5XPI4,Q9Y4E8"
Complex_252,"Q9NZT2,Q12931,Q93009"
Complex_253,"Q9BXB4,P28340,Q86UA1,Q9BYX2,O60343,Q15642"
Complex_254,"Q8N573,Q96QR8,Q13247"
Complex_255,"Q15004,B4E3P1"
Complex_256,"P22234,P14314"
Complex_257,"F5H3B4,Q9GZZ9"
Complex_258,"Q15365,Q6ZTT1,Q3ZCM7"
Complex_259,"Q99447,P49411,Q8TBC4,O14980"
Complex_260,"O75340,O15160"
Complex_261,"Q8WUM4,Q12792"
Complex_262,"Q9UHV9,P61758"
Complex_263,"Q9NQP4,O15212,Q92696"
Complex_264,"Q99471,O14974,Q9Y606"
Complex_265,"Q8IZ21,Q04206"
Complex_266,"P47712,Q9Y265"
Complex_267,"Q15054,F8WCY5"
Complex_268,"Q08752,P37840"
Complex_269,"P62136,Q9HB40,B4DT57"
Complex_270,"Q6ZU68,Q13033,F8VYA6"
Complex_271,"Q16537,P55327"
Complex_272,"Q8N1F0,Q86VN1,Q96MX6,Q13243,Q9BRG1"
Complex_273,"P60510,Q93008"
Complex_274,"P22694,B8ZZN6"
Complex_275,"P60891,P62979"
Complex_276,"O60256,P08579"
Complex_277,"O95456,B4DNJ6,Q02543"
Complex_278,"Q9UJ41,Q9HBM1,Q01082"
Complex_279,"C9JXG8,P04818"
Complex_280,"Q9NTZ6,Q9H4L7"
Complex_281,"O75792,Q9UI30"
Complex_282,"P15927,Q9UHD9"
Complex_283,"P62913,Q9Y5B9"
Complex_284,"P46779,P62841,P08708"
Complex_285,"P42766,Q7KZF4"
Complex_286,"P05387,B7Z4N8"
Complex_287,"Q92541,Q99598"
Complex_288,"P31947,Q13404,Q96K21"
Complex_289,"Q9BTW9,Q9GZL7"
Complex_290,"Q9NYB0,Q15386"
Complex_291,"Q8NCE0,Q5JSH3"
