ComplexID,Subunits_UniProt_IDs
Complex_95,"O00567,O76021,P46087,P46777,P56537,P62750,Q13610,Q13823,Q14684,Q14690,Q14692,Q15050,Q15269,Q15397,Q8IY81,Q8TDD1,Q8TDN6,Q8WTT2,Q96GQ7,Q99733,Q9BQ67,Q9BVP2,Q9BYG3,Q9BZE4,Q9H0A0,Q9NVN8,Q9NVU7,Q9NW13,Q9NY93,Q9UKD2,Q9Y221"
Complex_96,"O76021,P62750,Q13895,Q96GA3,Q9GZL7"
Complex_97,"O60832,Q9BVI4"
Complex_98,"O00541,O60832"
Complex_99,"O00567,O76021,P46087,Q12788,Q14690,Q15269,Q8IY81,Q8NI36,Q96GQ7,Q9BYG3,Q9H0A0,Q9NW13,Q9UNX4"
Complex_100,"P78316,Q5JTH9,Q9BVI4,Q9H583"
Complex_101,"O76021,Q13601,Q13895,Q9H0A0"
Complex_102,"P22087,Q9Y2P8,Q9Y2X3"
Complex_103,"Q14692,Q9Y4C8"
Complex_104,"Q68CQ4,Q9H0A0"
Complex_105,"O43818,Q9H0A0"
Complex_106,"O00567,O76021,P46087,P62277,P62280,Q02543,Q12788,Q13610,Q14690,Q14692,Q15050,Q15269,Q15397,Q8IY81,Q8NI36,Q8TDN6,Q8WTT2,Q9BQ67,Q9BVP2,Q9BYG3,Q9BZE4,Q9H0A0,Q9NW13,Q9NY93,Q9UNX4,Q9Y221"
Complex_107,"P46782,Q13601,Q13895,Q5JTH9,Q9GZL7,Q9NWS0,Q9Y230,Q9Y265"
Complex_108,"O00541,P22087,Q9GZL7,Q9Y2P8,Q9Y2X3"
Complex_109,"Q15050,Q9H583,Q9NWS0"
Complex_110,"O95602,Q9H9Y6"
Complex_111,"Q9BVI4,Q9Y221"
Complex_112,"Q9BVI4,Q9NX24"
Complex_113,"P06730,P11940,P62753,Q7Z434"
Complex_114,"O14980,P06730,P11940,Q7Z434"
Complex_115,"O14980,Q7Z434"
Complex_116,"O95229,P06756,P35222"
Complex_117,"O75381,P50542"
Complex_118,"O14802,O15160,O15318,P05423,P62875,Q9H1D9,Q9NVU0,Q9NW08,Q9Y2S0"
Complex_119,"O14802,O15160,P05423,P62875,Q9H1D9,Q9NVU0,Q9NW08,Q9Y2S0"
Complex_120,"O15318,Q9H1D9"
Complex_121,"O00743,P78527,Q5H9R7,Q9UPN7"
Complex_122,"O15084,O75170"
Complex_123,"O00743,Q9UPN7"
Complex_124,"O00231,O00487,O14818,O43242,P17980,P20618,P25786,P25788,P25789,P28066,P28070,P28072,P28074,P35998,P43686,P55036,P60900,P62191,P62195,Q15008,Q16763,Q99436,Q9UNM6"
Complex_125,"O14818,P20618,P25786,P25788,P25789,P28066,P28070,P28072,P28074,P49721,P60900,Q99436"
Complex_126,"P30260,Q13042,Q13257,Q8NHZ8,Q9H9B1,Q9UJX2,Q9UJX3,Q9UJX4"
Complex_127,"P30260,Q9H1A4,Q9H9B1,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX6"
Complex_128,"O00231,O00232,O00487,O43242,P51665,Q9UNM6"
Complex_129,"P06493,P62877,Q9UJX3,Q9UJX4,Q9UJX6"
Complex_130,"P46937,P61289,Q14166,Q9UL46"
Complex_131,"Q13042,Q13257,Q9UJX2"
Complex_132,"O00762,Q06323,Q9UL46"
Complex_133,"P25789,P46937,P60900"
Complex_134,"P46736,Q9NXR7"
Complex_135,"P30260,Q8NHZ8"
Complex_136,"O75832,Q9UMX0"
Complex_137,"P43686,P62195"
Complex_138,"P14635,P62979"
Complex_139,"O00767,P00167,P49327"
Complex_140,"O00767,P00167"
Complex_141,"O15121,O95674,Q06136,Q6UWP7,Q8IV08,Q96G23"
Complex_142,"Q06136,Q6UWP7,Q8WUD6"
