ComplexID,Subunits_UniProt_IDs
Complex_174,"A5YKK6,O00471,O43156,O43264,O60763,O75155,P10586,P42345,Q13395,Q13509,Q13535,Q14746,Q15386,Q6YHU6,Q86VR2,Q8NB49,Q8TAG9,Q8TCG1,Q8WTW3,Q92616,Q9BTW9,Q9H583,Q9NU22,Q9NV70,Q9UI26,Q9UIA9,Q9UPT5,Q9Y2V7,Q9Y5L0"
Complex_175,"O60313,O60763,O75155,Q13395,Q13509,Q15386,Q29RF7,Q6NUK1,Q7Z4Q2,Q86VR2,Q8TEX9,Q96CW5,Q9BTW9,Q9C0E2,Q9NRY5,Q9UHI6,Q9UIA9,Q9Y263,Q9Y5L0,Q9Y6E2"
Complex_176,"O75155,Q12769,Q14746,Q96KP1,Q9NR50,Q9NV70,Q9UI10"
Complex_177,"O43156,O43264,O60313,Q9NRY5,Q9UIA9,Q9Y2V7"
Complex_178,"O00471,Q7Z4Q2,Q9Y6E2"
Complex_179,"Q9BYD3,Q9NYK5"
Complex_180,"P38159,Q12905"
Complex_181,"O75127,P38159"
Complex_182,"O75155,P35613,P51648"
Complex_183,"P35613,P51648"
Complex_184,"Q92785,Q969G3,Q96GM5"
Complex_185,"O75251,O75489,P51970"
Complex_186,"O75306,O75489,P51970,Q9BQ95"
Complex_187,"O15400,Q86Y82,Q99747,Q9P2W9"
Complex_188,"O75380,O75489,P51970"
Complex_189,"Q9BYD3,Q9HD33,Q9NP92"
Complex_190,"O75410,O95292"
Complex_191,"O75438,O75489,P51970,Q9BQ95"
Complex_192,"O75446,Q16576"
Complex_193,"P15880,P22087"
Complex_194,"O00217,O43181,O43674,O43676,O43678,O75251,O75306,O75380,O75438,O75489,O95167,O95168,O95169,O95182,O96000,P03915,P19404,P28331,P49821,Q16718,Q9BQ95,Q9H845,Q9P032,Q9UI09,Q9Y375,Q9Y6M9"
Complex_195,"O95139,O95167"
Complex_196,"O75533,P09661"
Complex_197,"P08865,Q9Y580"
Complex_198,"O75607,P06748"
Complex_199,"O75643,P16383,Q56P03,Q96DI7,Q9BUQ8,Q9Y312,Q9Y5U2"
Complex_200,"O75643,Q9BUQ8"
Complex_201,"P06748,P50914,P62241,Q02878"
Complex_202,"O60831,O75695,O95373,P33240,P40763,P42345,P49674,P55060,P83436,Q15003,Q29RF7,Q5VYK3,Q8IWA5,Q92797,Q92990,Q969Z3,Q9UIA9,Q9UPU5,Q9Y5L0"
Complex_203,"O60831,O75695,O95373,P40763,P83436,Q15003,Q5VYK3,Q92990,Q9UIA9"
Complex_204,"O75787,P61421,Q15904,Q3ZAQ7,Q8IYS2,Q93050,Q9Y487"
Complex_205,"Q16864,Q9Y5K8"
Complex_206,"P30260,Q9H1A4,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX6"
Complex_207,"Q9UJX2,Q9UJX3,Q9UJX6"
Complex_208,"Q13480,Q96RF0"
Complex_209,"O95630,P30260"
Complex_210,"O75818,O95707"
Complex_211,"O00303,O15371,O15372,O75821,P55884,P60228,Q13347,Q14152,Q7L2H7,Q99613,Q9Y262"
Complex_212,"P17980,P35998,P62191"
Complex_213,"O75915,P54709,Q86VR2,Q9NQC3"
Complex_214,"O75915,P54709"
Complex_215,"O75935,P42025,P47755,Q13561"
Complex_216,"O75935,Q13561"
Complex_217,"O75947,P24539"
Complex_218,"O43752,O94766,Q86Y56,Q99442,Q9Y2U8"
Complex_219,"O00461,Q07065"
Complex_220,"O94776,Q16576,Q8WXI9"
Complex_221,"O94776,Q16576"
Complex_222,"O95619,Q15532,Q92785,Q96GM5"
Complex_223,"O94874,P35613,Q96HY6"
Complex_224,"O94874,Q96HY6"
Complex_225,"Q8N983,Q9BYD3"
Complex_226,"O94979,P55735"
Complex_227,"O95059,O95707"
Complex_228,"O95292,P06493,P24941"
Complex_229,"P06493,P24941"
Complex_230,"O75489,P51970"
Complex_231,"O75489,O95167,P51970,Q9BQ95"
Complex_232,"O75489,O95168,P51970"
Complex_233,"O75489,O95169,O95292,P51970,Q9BQ95"
Complex_234,"O75489,O95182,O95292,P51970,Q9Y320"
Complex_235,"O14777,Q8NBT2,Q9BZD4,Q9HBM1"
Complex_236,"O15400,O43752,Q86Y82"
Complex_237,"O95298,P51970,Q9BQ95,Q9NPL8"
Complex_238,"O95298,Q9NPL8"
Complex_239,"O95400,Q96DI7,Q9BUQ8,Q9Y5U2"
Complex_240,"O75817,O75818,O95059,O95707,P78345,P78346,Q8N5L8,Q99575"
Complex_241,"O15400,O43752,O75150,O95721,P51809,Q13190,Q53HC9,Q5VTR2,Q6NZI2,Q86Y82,Q96A65,Q9HBM1,Q9NRL3,Q9NV70,Q9P2W9,Q9UID3"
Complex_242,"O75150,Q5VTR2"
Complex_243,"Q9NRL3,Q9NXR1"
Complex_244,"O95793,P50914,P62917"
Complex_245,"O95793,P15880,Q12905"
Complex_246,"O95825,Q6ZMI0"
Complex_247,"O60341,Q14687,Q9NP66,Q9UKL0"
Complex_248,"O95864,P54709"
Complex_249,"P30260,Q13042,Q9H1A4,Q9UJX2,Q9UJX4,Q9UJX6"
Complex_250,"Q13042,Q9UJX2"
Complex_251,"O95983,Q16576,Q8WXI9"
Complex_252,"O60244,O75448,Q15528,Q15648,Q9H944,Q9NPJ6,Q9NRL3,Q9NVC6,Q9ULK4,Q9Y2X0,Q9Y6D6"
Complex_253,"Q16204,Q9NRL3,Q9NXR1"
Complex_254,"O75489,O96000"
Complex_255,"O96005,Q9Y282"
Complex_256,"O60763,O96019,P17987,P40227,P49368,P50991,P78371,Q13371,Q99832"
