ComplexID,Subunits_UniProt_IDs
Complex_102,"P00167,Q9Y6C9"
Complex_103,"O60499,Q9Y2U8,Q9Y3D7,Q9Y5Y0"
Complex_104,"O60831,Q2TAA5,Q3SXM5,Q68D91,Q8NBX0,Q96KC8,Q9NVJ2,Q9Y3E5"
Complex_105,"O43292,P23229,P51798,P55011,Q16850,Q7Z2K6,Q86X29,Q8TC12,Q8WUY1,Q8WVC6,Q96CP6,Q9BXP2,Q9GZY4,Q9H1E5,Q9H813,Q9NVH1,Q9NX62,Q9UHQ9,Q9Y394"
Complex_106,"O15127,O75165,Q08722,Q8IYS2,Q8NBU5,Q8TB61,Q8WUD6,Q9Y282"
Complex_107,"O43156,O95373,P42345,P55060,P83436,Q13535,Q14746,Q6YHU6,Q92973,Q96JB2,Q96MW5,Q9HAV4,Q9UIA9,Q9UL25,Q9UP83,Q9Y2U8,Q9Y2V7,Q9Y5L0"
Complex_108,"P43304,P98172,Q15836,Q7Z3B4,Q96ER9,Q9BVL2"
Complex_109,"Q7L1Q6,Q9BTV4,Q9NQC3"
Complex_110,"O43291,P08754,Q9BTX1,Q9Y282"
Complex_111,"Q15392,Q96CS3,Q99442"
Complex_112,"O75844,P00387,P20340,P27105,P61019"
Complex_113,"O75155,O94822,P42345,P42356,Q6AI08,Q6P996,Q9H583,Q9NUQ7,Q9Y6D6"
Complex_114,"O15258,O95070,P27824,Q06136,Q13505,Q6P1A2,Q86VR2,Q8TC12,Q96G23,Q96N66,Q9H3K2,Q9H6H4"
Complex_115,"O14763,P51151,P98194,Q86X29,Q9BTU6"
Complex_116,"Q15532,Q96GM5"
Complex_117,"O94766,Q86VR2,Q9Y6I9"
Complex_118,"O60637,Q9NPF0,Q9Y5M8"
Complex_119,"A2RU67,O14763,O14786,P33908,P51809,P84085,Q6ZRP7,Q8TC12,Q8WVQ1,Q9GZM5,Q9Y320,Q9Y5Y0"
Complex_120,"O14786,P07099,Q15165,Q15738,Q86X29,Q8IW92,Q96CP6,Q96S66,Q9BQE5,Q9NV96,Q9Y394,Q9Y3B3,Q9Y6I9"
Complex_121,"Q9BRK5,Q9NVJ2,Q9UN37,Q9Y5M8"
Complex_122,"P20339,P20340,P61019,Q9NRW1,Q9NVJ2"
Complex_123,"P04899,Q15047,Q96CS3,Q96J42"
Complex_124,"Q8WY22,Q9BVC6,Q9Y6M7"
Complex_125,"O15258,P07099,P33176,Q6UWP7,Q7LGA3,Q7Z417,Q7Z434,Q8N5K1,Q8NB49,Q8NBJ4,Q8NC56,Q8NEW0,Q96AG4,Q96CP6,Q96HY6,Q96RQ1,Q9BSF4,Q9BVT8,Q9BXP2,Q9C0E8,Q9H0B6,Q9NSK0,Q9Y320,Q9Y394,Q9Y6M5"
Complex_126,"P84085,Q6P996,Q92520,Q9BRX8,Q9BU23,Q9H813"
Complex_127,"O15258,O43808,O96005,Q86UL3,Q8IY95,Q8WUD6,Q96RQ1,Q9BTX1,Q9GZM5,Q9H490,Q9NVH1,Q9UDX5,Q9Y3D7,Q9Y5Y0"
Complex_128,"O43760,P04920,Q15125,Q5UCC4,Q6UWP7,Q7Z2K6,Q8N0U8,Q8WUD6,Q96N66,Q9GZM5,Q9NRZ7"
Complex_129,"O75489,P51970,Q86VR2,Q96CS3,Q9BQ95,Q9NPL8,Q9Y375"
Complex_130,"Q7L1Q6,Q86Y82,Q9Y6E2"
Complex_131,"P29992,P60033"
Complex_132,"P07942,P11047"
Complex_133,"P05556,P17301,Q08722,P08195,P06756"
Complex_134,"O95163,Q9H9T3"
Complex_135,"P40692,P52701"
Complex_136,"Q9H944,Q9NX70"
Complex_137,"Q08211,Q08945,Q9NR30"
Complex_138,"P37108,P61201,Q13098,Q7L5N1,Q92905,Q99627,Q9BT78,Q9H9Q2,Q9UBW8,Q9UNS2,P53396,Q06546,Q06547"
Complex_139,"O43747,O75843,P56377,P61966,Q10567,Q9BXS5"
Complex_140,"Q96IJ6,Q9Y5P6"
Complex_141,"P34932,Q9H6T3,Q9NWS0,Q9Y230,Q9Y265"
Complex_142,"O60502,Q96GD4"
